Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes,geometry,centroid,latitude,longitude
"MULTILINESTRING ((-74.01669327399998 40.71547280500005, -74.01602003999994 40.715156672000035))",Int. No. 877-A,12/29/2008,2008,2008/064,Street,Manhattan,River Terrace,Vesey Place,Misc,"This section of the bill would rename a portion of what is now called “Vesey Place”, within Battery Park City in Manhattan, “as River Terrace.”  Currently, the extension of Vesey Place to the west is named River Terrace and this renaming, which w",River Terrace as it extends to North End Avenue,10282,Gerson,,"MULTILINESTRING ((-74.01669327399998 40.71547280500005, -74.01602003999994 40.715156672000035))",POINT (-74.01635665699996 40.71531473850004),40.71531473850004,-74.01635665699996
"MULTILINESTRING ((-73.89726291699998 40.75247530300004, -73.87481819099997 40.75481597800007))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Paseo Park,34th Avenue,Group,Paseo Park is a 26-block open street along 34th Avenue from 69th Street to Junction Boulevard in Jackson Heights. Its name is meant to acknowledge the diverse immigrant communities that line the open street while also evoking the new purpose of the stree,Between 69th Street and 93rd Street,11372,Krishnan,,"MULTILINESTRING ((-73.89726291699998 40.75247530300004, -73.87481819099997 40.75481597800007))",POINT (-73.88604055399998 40.753645640500054),40.753645640500054,-73.88604055399998
"MULTILINESTRING ((-73.92092864699998 40.81161205500007, -73.91935565399996 40.810942315000034, -73.91769268399997 40.81038496300005))",Int. No. 565,10/20/2003,2003,2003/062,Street,Bronx,Piccirilli Place,East 142nd Street,Group,"The Piccirilli family, parents, six sons and a daughter, arrived in New York City in 1888 from Massa-Carrara in Tuscany, Italy where the father, Giuseppe, operated a sculpture studio. By 1893, they established a residence and sculpture studio at 467 E. 1",between Willis Avenue and Brook Avenue,10454,Serrano,,"MULTILINESTRING ((-73.92092864699998 40.81161205500007, -73.91935565399996 40.810942315000034, -73.91769268399997 40.81038496300005))",POINT (-73.91932282467887 40.81096649289372),40.81096649289372,-73.91932282467887
"MULTILINESTRING ((-73.78296434599997 40.68420013200006, -73.78281246299997 40.68393276100005, -73.78268038599998 40.683700255000076))",Int. No. 897,03/19/2023,2023,2023/044,Street,Queens,Carmichael Way,Guy R. Brewer Boulevard,Group,"For nearly 40 years, the name Carmichael in Southeast Queens was synonymous with good, downhome southern country soul food, business powerbrokers, jazz, and “after church brunch on Sunday.” The Carmichael’s diner, liquor store and auto shop/gas sta",Between Foch Boulevard and 118th Avenue,11434,Adams,,"MULTILINESTRING ((-73.78296434599997 40.68420013200006, -73.78281246299997 40.68393276100005, -73.78268038599998 40.683700255000076))",POINT (-73.78282236588711 40.683950193564165),40.683950193564165,-73.78282236588711
"MULTILINESTRING ((-73.98644310299994 40.76161568800006, -73.98457151799994 40.76083464900006))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Manhattan,Saint Malachy’s Way,West 49th Street,Group,"Manhattan Community Board No. 5 has approved the renaming of 49th Street between Broadway and 8th Avenue to honor St. Malachy Catholic Church’s 100 years of service to New York City.  For eighty of the 100 years, St. Malachy’s has served the interest",Between 8th Avenue and Broadway,10019,Quinn,,"MULTILINESTRING ((-73.98644310299994 40.76161568800006, -73.98457151799994 40.76083464900006))",POINT (-73.98550731049994 40.76122516850006),40.76122516850006,-73.98550731049994
"MULTILINESTRING ((-73.89271028099995 40.74877782300007, -73.89241523799996 40.74721317600006))",Int. No. 897,03/19/2023,2023,2023/044,Street,Queens,Bangladesh Street,73rd Street,Group,This co-naming will commemorate the Bangladeshi community and recognize the contributions that have been made and they continue to make in the future.,Between 37th Avenue and Broadway,11372,Krishnan,,"MULTILINESTRING ((-73.89271028099995 40.74877782300007, -73.89241523799996 40.74721317600006))",POINT (-73.89256275949995 40.747995499500064),40.747995499500064,-73.89256275949995
"MULTILINESTRING ((-73.94550126699994 40.790188991000036, -73.94357007599996 40.78937466700006))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Manhattan,Union Settlement Way,East 104th Street,Group,"Union Settlement opened in 1895 and serves the East Harlem community with educational programming for youth, job preparation, assistance and programs for seniors and health screenings.",Between Second Avenue and Third Avenue,10029,Mark-Viverito,,"MULTILINESTRING ((-73.94550126699994 40.790188991000036, -73.94357007599996 40.78937466700006))",POINT (-73.94453567149995 40.78978182900005),40.78978182900005,-73.94453567149995
"MULTILINESTRING ((-73.94007322999994 40.80637541600004, -73.93872676099994 40.80580695100008))",Int. No. 1188-A,12/17/2013,2013,2013/131,Street,Manhattan,St. James Place,East 126th Street,Group,This co-naming will commemorate St. James Church which was opened in 1859.,Between Madison Avenue and Park Avenue,10035,Dickens,,"MULTILINESTRING ((-73.94007322999994 40.80637541600004, -73.93872676099994 40.80580695100008))",POINT (-73.93939999549994 40.80609118350006),40.80609118350006,-73.93939999549994
"MULTILINESTRING ((-73.99843692499996 40.67710752000005, -73.99870246399996 40.67655422300004))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Brooklyn,St. Mary Star of the Sea Way,Court Street,Group,"In 1851, Archbishop John Hughes of New York established the Parish of St. Mary’s Star of the Sea.  The need for the new parish in South Brooklyn and Red Hook was necessitated because of the large concentration of immigrant laborers with the boom of shi",between Nelson Street and Luquer Street,11231,DeBlasio,,"MULTILINESTRING ((-73.99843692499996 40.67710752000005, -73.99870246399996 40.67655422300004))",POINT (-73.99856969449996 40.676830871500044),40.676830871500044,-73.99856969449996
"MULTILINESTRING ((-73.86938168399996 40.67316606500003, -73.86859579699995 40.67328405400008))",Int. No.1000,12/18/2001,2001,2001/068,Street,Brooklyn,The Greater Bright Light Place,Sutter Avenue,Group,"The following information is excerpted from material by Community Board No. 5 in Brooklyn. 

The Greater Bright Light Baptist Church was organized in 1974 and, since 1990, it has been located at 1320 Sutter Avenue in Brooklyn.  Providing outreach to the",between Hemlock Street and Crescent Street,11208,Wooten,,"MULTILINESTRING ((-73.86938168399996 40.67316606500003, -73.86859579699995 40.67328405400008))",POINT (-73.86898874049996 40.67322505950005),40.67322505950005,-73.86898874049996
"MULTILINESTRING ((-73.92128069599994 40.621739330000025, -73.92046411299998 40.621786833000044))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Brooklyn,Avenue M – Mary Queen of Heaven Way,Avenue M,Group,"On April 17, 1927, Archbishop Molloy designated Father Crawford to form Mary Queen of Heaven Parish.  With the completion of the church’s lower level, the first Mass was celebrated in the new Church on December 27, 1927.  Father Crawford's dream of an",between East 56th Street and East 57th Street,11234,Fidler,,"MULTILINESTRING ((-73.92128069599994 40.621739330000025, -73.92046411299998 40.621786833000044))",POINT (-73.92087240449996 40.621763081500035),40.621763081500035,-73.92087240449996
"MULTILINESTRING ((-74.07457706199995 40.613072275000036, -74.07436844599994 40.61279626600003))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Staten Island,Mt. Carmel Way,White Plains Avenue,Group,"The Society of Our Lady of Mount Carmel was founded in 1903 as a self-help organization open to immigrant Italians, irrespective of their towns of origin or native regional affiliations in the old country.  It was under the tenure of the society's first",Between St. Mary’s Avenue and Amity Street,10305,McMahon,,"MULTILINESTRING ((-74.07457706199995 40.613072275000036, -74.07436844599994 40.61279626600003))",POINT (-74.07447275399994 40.612934270500034),40.612934270500034,-74.07447275399994
"MULTILINESTRING ((-73.81109912599999 40.69184875000008, -73.81284792599996 40.69138099200006, -73.81334145299996 40.691108471000064, -73.81356139399998 40.69094983800005, -73.81478521999998 40.690067148000026, -73.81515194399998 40.689831266000056, -73.81551672399996 40.689615684000046, -73.81633479799996 40.689290277000055, -73.81809969099999 40.688606916000026, -73.82071394299999 40.687594674000024, -73.82205678299994 40.687074718000076, -73.82343369299997 40.68652699900008, -73.82445624999997 40.68614562000005, -73.82476097199998 40.68606410800004, -73.82507879899998 40.686021878000076, -73.82597965499997 40.68592963100008, -73.82726479999997 40.68577780900006, -73.82817519499997 40.68570481000006, -73.82880881599993 40.68562061800003, -73.82912201699997 40.685536838000075, -73.82969648199997 40.68532257900006, -73.83059342099995 40.68495000300004, -73.83062035599994 40.68494642400003, -73.83256056599998 40.68417460500007, -73.83348350199998 40.68381722000004, -73.83421117199998 40.68351494900003, -73.83483200299997 40.683148010000025, -73.83561541299997 40.68271536300006, -73.83654173199994 40.68220378900003, -73.83698244299995 40.68199666500004, -73.83764221199993 40.681734197000026, -73.83829136099996 40.68153494000006, -73.83902896799998 40.68137018300007, -73.83959223199997 40.68125831000003, -73.84088505699998 40.68102642900004, -73.84197135199997 40.68079658000005, -73.84270773299994 40.68066450200007, -73.84371765999998 40.68046391300004, -73.84435293899998 40.68034996800003))",Int. No. 2187,01/17/2021,2021,2021/014,Street,Queens,Little Guyana Avenue,Liberty Avenue,Group,This co-naming will commemorate the contributions of the Guyanese community in Richmond Hill. Guyanese now makes up the second largest immigrant group based on the 2010 census.,Between the Van Wyck Expressway and Woodhaven Boulevard,11417,Adams,,"MULTILINESTRING ((-73.81109912599999 40.69184875000008, -73.81284792599996 40.69138099200006, -73.81334145299996 40.691108471000064, -73.81356139399998 40.69094983800005, -73.81478521999998 40.690067148000026, -73.81515194399998 40.689831266000056, -73.81551672399996 40.689615684000046, -73.81633479799996 40.689290277000055, -73.81809969099999 40.688606916000026, -73.82071394299999 40.687594674000024, -73.82205678299994 40.687074718000076, -73.82343369299997 40.68652699900008, -73.82445624999997 40.68614562000005, -73.82476097199998 40.68606410800004, -73.82507879899998 40.686021878000076, -73.82597965499997 40.68592963100008, -73.82726479999997 40.68577780900006, -73.82817519499997 40.68570481000006, -73.82880881599993 40.68562061800003, -73.82912201699997 40.685536838000075, -73.82969648199997 40.68532257900006, -73.83059342099995 40.68495000300004, -73.83062035599994 40.68494642400003, -73.83256056599998 40.68417460500007, -73.83348350199998 40.68381722000004, -73.83421117199998 40.68351494900003, -73.83483200299997 40.683148010000025, -73.83561541299997 40.68271536300006, -73.83654173199994 40.68220378900003, -73.83698244299995 40.68199666500004, -73.83764221199993 40.681734197000026, -73.83829136099996 40.68153494000006, -73.83902896799998 40.68137018300007, -73.83959223199997 40.68125831000003, -73.84088505699998 40.68102642900004, -73.84197135199997 40.68079658000005, -73.84270773299994 40.68066450200007, -73.84371765999998 40.68046391300004, -73.84435293899998 40.68034996800003))",POINT (-73.82754648203918 40.68561296044353),40.68561296044353,-73.82754648203918
"MULTILINESTRING ((-74.08936560399997 40.60765649100006, -74.08882518899998 40.60732766700005))",Int. No. 825,10/10/2008,2008,2008/048,Street,Staten Island,Eleven in Heaven Square-Rescue 5,Clove Road,Group,"To honor Rescue 5 Battalion Chief Louis Modafferi, Lietenant Harvey Harrell and Firefighters John Bergin, Carl Bini, Mike Fiore, Andre Fletcher, Joseph Mascali, Douglas Miller, Jeffrey Palazzo, Nick Rossomando and Allen Tarasiewicz. All were killed in th",Between Targee Street and Oder Avenue,10304,Oddo,,"MULTILINESTRING ((-74.08936560399997 40.60765649100006, -74.08882518899998 40.60732766700005))",POINT (-74.08909539649997 40.60749207900005),40.60749207900005,-74.08909539649997
"MULTILINESTRING ((-73.82961663699996 40.65047763300004, -73.82728981999998 40.650820527000064))",Int. No. 1033,07/17/2009,2009,2009/046,Street,Queens,165th Avenue,Lockwood Court,Misc,"This section of the bill would rename what is now called “Lockwood Court,” in Queens, “as 165th Avenue” and amend the official map of the City of New York accordingly.",Between 104th Street and Hawtree Basin,11414,Ulrich,,"MULTILINESTRING ((-73.82961663699996 40.65047763300004, -73.82728981999998 40.650820527000064))",POINT (-73.82845322849997 40.65064908000005),40.65064908000005,-73.82845322849997
"MULTILINESTRING ((-73.85233273699998 40.83636894700004, -73.85502289299995 40.83608033400003, -73.85529829799998 40.83605078700003, -73.85568649199996 40.83596308500006))",Int. No. 825,10/10/2008,2008,2008/048,Street,Bronx,Bangla Bazaar,Starling Avenue,Group,"Bangla Bazaar, which means Bangla Mall in the Bangladeshi language, will honor the growth of the Bangladeshi community along Starling Avenue which offers Bangladeshi retail and food establishments contributing to the fusion of culture in the Bronx.",Between Castle Hill Avenue and Unionport Road,10462,Palma,,"MULTILINESTRING ((-73.85233273699998 40.83636894700004, -73.85502289299995 40.83608033400003, -73.85529829799998 40.83605078700003, -73.85568649199996 40.83596308500006))",POINT (-73.85401292871909 40.8361859769352),40.8361859769352,-73.85401292871909
"MULTILINESTRING ((-73.82935708999997 40.79125046300004, -73.82940268799996 40.79106160900005, -73.82944414299999 40.79088991200007, -73.82944023899995 40.79065140800003, -73.82938927699996 40.790367109000044, -73.82927394199999 40.79004422500003, -73.82909834899993 40.789807034000034))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Queens,Boulevard,141st Street,Misc,"Sometime in the 1920’s streets throughout the area of Douglaston, Queens and Little Neck, Queens were given numerical designations in order to come “in line” with the New York City street grid.  In 1970-1971, a movement to re-instate the named stre",from the intersection of Center Drive and Point Crescent to the intersection of 141st Street and Boulevard,11357,Avella,,"MULTILINESTRING ((-73.82935708999997 40.79125046300004, -73.82940268799996 40.79106160900005, -73.82944414299999 40.79088991200007, -73.82944023899995 40.79065140800003, -73.82938927699996 40.790367109000044, -73.82927394199999 40.79004422500003, -73.82909834899993 40.789807034000034))",POINT (-73.82935312966433 40.79050540530508),40.79050540530508,-73.82935312966433
"MULTILINESTRING ((-73.99769616899994 40.678643374000046, -73.99803278699994 40.67794871700005))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Brooklyn,Citizens of Mola di Bari Way,Court Street,Group,"This co-naming is in honor of the many contributions emigrants from Mola, Italy have made to Brooklyn, New York City and the United States as a whole.  The Van Westerhout Cittadini Molesi Social Club is a club for immigrants from the town of Mola, in Bar",Between 3rd Place and 4th Place,11231,Lander,,"MULTILINESTRING ((-73.99769616899994 40.678643374000046, -73.99803278699994 40.67794871700005))",POINT (-73.99786447799994 40.67829604550005),40.67829604550005,-73.99786447799994
"MULTILINESTRING ((-74.00442944399998 40.71408261000005, -74.00406037199997 40.71451686700004))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Manhattan,African Burial Ground Way,Elk Street,Group,"In 1991, during the construction of a Federal office building at 290 Broadway in Lower Manhattan, excavators unearthed the largest colonial-era cemetery for enslaved Africans in America. For the previous 200 years, other parts of the five-acre burial gro",between Duane Street and Chambers Street,10007,Perkins and Gerson,,"MULTILINESTRING ((-74.00442944399998 40.71408261000005, -74.00406037199997 40.71451686700004))",POINT (-74.00424490799998 40.714299738500046),40.714299738500046,-74.00424490799998
"MULTILINESTRING ((-73.83036094999994 40.651367933000074, -73.82752317299997 40.65178306300004))",Int. No. 1033,07/17/2009,2009,2009/046,Street,Queens,164th Road,Calhoun Road,Misc,"This section of the bill would rename what is now called “Calhoun Road” in Queens, “as 164th Road” and amend the official map of the City of New York accordingly.",Between 104th Street and Hawtree Basin,11414,Ulrich,,"MULTILINESTRING ((-73.83036094999994 40.651367933000074, -73.82752317299997 40.65178306300004))",POINT (-73.82894206149996 40.65157549800006),40.65157549800006,-73.82894206149996
"MULTILINESTRING ((-74.01327024399995 40.70583756100007, -74.01340033099996 40.70565863000007))",Int. No. 1054,02/25/2016,2016,2016/023,Street,Manhattan,1783 Evacuation Day Plaza,Bowling Green Plaza,Group,This co-naming will honor the place where General George Washington and the Continental Army witnessed the lowering of the last British flag and the raising of the Stars and Stripes to mark the successful conclusion to the American Revolution.  Of cult,Between Broadway on Bowling Green Plaza,10004,Chin,,"MULTILINESTRING ((-74.01327024399995 40.70583756100007, -74.01340033099996 40.70565863000007))",POINT (-74.01333528749996 40.70574809550007),40.70574809550007,-74.01333528749996
"MULTILINESTRING ((-73.89672608299998 40.89579187000004, -73.89645786299997 40.89389411600007, -73.89666170999999 40.892839785000035, -73.89807791699997 40.89034987400004))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Bronx,Betty and Lloyd Adams Way,Broadway,Male/Female,"Betty Campbell-Adams (Died December 11, 2020) and Lloyd Adams (Died February 1, 2007) opened Lloyd’s Carrot Cake across the street from Van Cortlandt Park in in 1986 and it quickly became a staple in the community. They were vibrant members of the comm",Between West 251st Street and Manhattan College Parkway,10471,Dinowitz,,"MULTILINESTRING ((-73.89672608299998 40.89579187000004, -73.89645786299997 40.89389411600007, -73.89666170999999 40.892839785000035, -73.89807791699997 40.89034987400004))",POINT (-73.89696662149613 40.89298313632652),40.89298313632652,-73.89696662149613
"MULTILINESTRING ((-73.83266795999998 40.68808675100007, -73.82290889299998 40.69084051100003))",Int. No. 1825,01/19/2020,2020,2020/026,Street,Queens,Punjab Avenue,101st Avenue,Group,"The Punjabis or Punjabi people are an ethnic group associated with the Punjab region in South Asia, specifically in the northern part of the Indian subcontinent, presently divided between Punjab, India and Punjab, Pakistan. Historically, the Punjabi peop",Between 111th Street and 123rd Street,11419,Adams,,"MULTILINESTRING ((-73.83266795999998 40.68808675100007, -73.82290889299998 40.69084051100003))",POINT (-73.82778842649998 40.68946363100005),40.68946363100005,-73.82778842649998
"MULTILINESTRING ((-74.16970785699993 40.57101099600004, -74.16977938099996 40.56331368100007))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Staten Island,Purple Heart Memorial  Bridge,The bridge over the Fresh Kills Creek,Group,This co-naming will honor our fallen heroes who have served our country. This co-naming will pay tribute to the Military Order of the Purple Heart by recognizing the men and women of this group who were wounded during combat. The organization was formed,Between Drumgoole Road West and Forest Hill Road,10306,Borelli,,"MULTILINESTRING ((-74.16970785699993 40.57101099600004, -74.16977938099996 40.56331368100007))",POINT (-74.16974361899995 40.567162338500054),40.567162338500054,-74.16974361899995
"MULTILINESTRING ((-74.00158969399996 40.717285126000036, -74.00256065399998 40.71619952400005))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Manhattan,Court Officer Memorial Way,Lafayette Street,Group,"This street name change stands for the NYS Court Officers who lost their lives on September 11, 2001.",Between White and Leonard,10013,Gerson,,"MULTILINESTRING ((-74.00158969399996 40.717285126000036, -74.00256065399998 40.71619952400005))",POINT (-74.00207517399997 40.71674232500004),40.71674232500004,-74.00207517399997
"MULTILINESTRING ((-73.91954515399993 40.77163689100007, -73.92006127999997 40.77200357700008, -73.92010733099994 40.77203629400003))",Int. No. 825,10/10/2008,2008,2008/048,Street,Queens,Malta Square,Hoyt Avenue South at 27th Street,Group,"The Maltese Center is located at 27-20 Hoyt Avenue South, Queens and recently celebrated its 25th anniversary.  Many dignitaries from Malta have visited the Maltese Center.  The Center serves a large Maltese population in the surrounding area.",At location closest to 27-20 Hoyt Avenue South,11102,Vallone,,"MULTILINESTRING ((-73.91954515399993 40.77163689100007, -73.92006127999997 40.77200357700008, -73.92010733099994 40.77203629400003))",POINT (-73.91982624243164 40.771836592596195),40.771836592596195,-73.91982624243164
"MULTILINESTRING ((-73.87975210999997 40.74307790700004, -73.87832785699999 40.74244590200004))",Int. No. 935,10/02/2012,2012,2012/048,Street,Queens,Steven R. Trimboli Way,Ketcham Street,Group,"Steven R. Trimboli received the Pearl Harbor Survivor Medal, which is a special honor reserved for those courageous Americans who survived the attack on December 7, 1941, and went on to serve their country and fight for freedom. After serving in World Wa",Between Elmhurst Avenue and Whitney Avenue,11373,Dromm,,"MULTILINESTRING ((-73.87975210999997 40.74307790700004, -73.87832785699999 40.74244590200004))",POINT (-73.87903998349998 40.74276190450004),40.74276190450004,-73.87903998349998
"MULTILINESTRING ((-73.87369400499995 40.83598049200003, -73.87243873199998 40.83586685000006, -73.87142485699997 40.83579785300003, -73.87034135199997 40.83569976200005, -73.86971347199994 40.83562012800007, -73.86941770899995 40.83558261600007, -73.86908060599995 40.835501572000055, -73.86817670099998 40.835249934000046, -73.86702871599994 40.83489479800005, -73.86541402599994 40.83443007500006, -73.86419459799998 40.83405283400003, -73.86317636499996 40.833769362000055, -73.86282301199998 40.83369747000006, -73.86265939699996 40.833084592000034, -73.86253333399998 40.83288571000003, -73.86201834999997 40.83294253400004, -73.86167502699993 40.83299326900004, -73.86153286999996 40.83289991600003, -73.86139339499994 40.832759887000066, -73.86117854599996 40.832693419000066, -73.86081297399994 40.83264705200003, -73.86068260899998 40.832709151000074, -73.86049785599994 40.83279715800006, -73.86036610899998 40.83290803400007, -73.86026202499994 40.83290949700006, -73.86003703099993 40.83284473900005, -73.85859814099996 40.83239959500003, -73.85810280399994 40.83226169200003, -73.85706428599997 40.83198237200003, -73.85621070699995 40.831734924000045, -73.85496974699998 40.831351006000034, -73.85356134399996 40.83092729800006, -73.85244136599994 40.83062606300007, -73.85201639199994 40.83048284200004, -73.85155810899994 40.830372656000065, -73.85065382999994 40.83008100300003, -73.85030626999998 40.82999743700003, -73.84997174799997 40.82989679700006, -73.84956765999993 40.82978811000004, -73.84928858599994 40.82967713100004, -73.84849287599997 40.82944645200007, -73.84824801599996 40.82932879500004, -73.84770288599998 40.82906685800003, -73.84730163499995 40.82882661800005, -73.84718573399994 40.82868063400008))",Int. No. 270,01/11/2018,2018,2018/035,Street,Bronx,East 177th Street,Cross Bronx Service Road South,Misc,Int. No. 270 permanently changes the name of the Cross Bronx Service Road North between Bronx River Parkway and Hugh Grant Circle and between Westchester Avenue and Zerega Avenue to East 177th Street and the Cross Bronx Service Road South between Bronx R,Between Bronx River Parkway and White Plains Road and between Hugh Grant Circle and Chatterton Avenue and Havemeyer Avenue,10462,Palma and Cohen,,"MULTILINESTRING ((-73.87369400499995 40.83598049200003, -73.87243873199998 40.83586685000006, -73.87142485699997 40.83579785300003, -73.87034135199997 40.83569976200005, -73.86971347199994 40.83562012800007, -73.86941770899995 40.83558261600007, -73.86908060599995 40.835501572000055, -73.86817670099998 40.835249934000046, -73.86702871599994 40.83489479800005, -73.86541402599994 40.83443007500006, -73.86419459799998 40.83405283400003, -73.86317636499996 40.833769362000055, -73.86282301199998 40.83369747000006, -73.86265939699996 40.833084592000034, -73.86253333399998 40.83288571000003, -73.86201834999997 40.83294253400004, -73.86167502699993 40.83299326900004, -73.86153286999996 40.83289991600003, -73.86139339499994 40.832759887000066, -73.86117854599996 40.832693419000066, -73.86081297399994 40.83264705200003, -73.86068260899998 40.832709151000074, -73.86049785599994 40.83279715800006, -73.86036610899998 40.83290803400007, -73.86026202499994 40.83290949700006, -73.86003703099993 40.83284473900005, -73.85859814099996 40.83239959500003, -73.85810280399994 40.83226169200003, -73.85706428599997 40.83198237200003, -73.85621070699995 40.831734924000045, -73.85496974699998 40.831351006000034, -73.85356134399996 40.83092729800006, -73.85244136599994 40.83062606300007, -73.85201639199994 40.83048284200004, -73.85155810899994 40.830372656000065, -73.85065382999994 40.83008100300003, -73.85030626999998 40.82999743700003, -73.84997174799997 40.82989679700006, -73.84956765999993 40.82978811000004, -73.84928858599994 40.82967713100004, -73.84849287599997 40.82944645200007, -73.84824801599996 40.82932879500004, -73.84770288599998 40.82906685800003, -73.84730163499995 40.82882661800005, -73.84718573399994 40.82868063400008))",POINT (-73.86034238417832 40.832814494841855),40.832814494841855,-73.86034238417832
"MULTILINESTRING ((-74.09749076799994 40.590840393000065, -74.09788773499997 40.59038088900007))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Staten Island,Huttner Pasqualini American Legion Way,Jefferson Street,Group,The heroic men from Staten Island who served and some of whom made the ultimate sacrifice in World War II deserve to have this street renamed to ensure that future generations remember that “freedom is not free.”  This renaming insures the memory of,between Cromwell Avenue and Garretson Avenue,10304,Oddo,,"MULTILINESTRING ((-74.09749076799994 40.590840393000065, -74.09788773499997 40.59038088900007))",POINT (-74.09768925149996 40.59061064100007),40.59061064100007,-74.09768925149996
"MULTILINESTRING ((-73.98701063099998 40.77102604500004, -73.98440888799996 40.76992100500007))",Int. No. 620,02/05/2015,2015,2015/015,Street,Manhattan,PCS Way,,Group,This co-naming will commemorate the Professional Children’s School’s 100th Anniversary.,At the southwest corner of Columbus Avenue and West 60th Street and the southeast corner of Amsterdam Avenue and West 60th Street (100 Block),10019,Rosenthal,,"MULTILINESTRING ((-73.98701063099998 40.77102604500004, -73.98440888799996 40.76992100500007))",POINT (-73.98570975949997 40.77047352500006),40.77047352500006,-73.98570975949997
"MULTILINESTRING ((-73.99065789599996 40.72071459700004, -73.99120238399996 40.719651412000076))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Manhattan,University Settlement,Eldridge Street,Group,"University Settlement was founded in 1886 and was the first settlement house in the United States and addresses the needs of over 20,000 people a year.  It provides childhood programs, mental health services, after school and day camp programs, college p",Between Delancey Street and Rivington Street,10002,Chin,,"MULTILINESTRING ((-73.99065789599996 40.72071459700004, -73.99120238399996 40.719651412000076))",POINT (-73.99093013999996 40.72018300450006),40.72018300450006,-73.99093013999996
"MULTILINESTRING ((-73.86660144999996 40.69589496000003, -73.86619442399996 40.69596054300007))",Int. No. 988,07/29/2018,2018,2018/139,Street,Queens,Forest Park Memorial Drive,Forest Park Drive,Group,"Forest Park currently includes several memorials in recognition of veterans who have served in WWI, WWII and Vietnam.  Additionally, the Park contains a 9/11 memorial near the bandstand in recognition of all those who lost their lives in the attacks.  Co",Just below Oak Ridge with the street sign pointing down the sloped Memorial Drive,11421,Holden,,"MULTILINESTRING ((-73.86660144999996 40.69589496000003, -73.86619442399996 40.69596054300007))",POINT (-73.86639793699996 40.69592775150005),40.69592775150005,-73.86639793699996
"MULTILINESTRING ((-73.89170891299995 40.74897980700007, -73.89088636899999 40.74907011700003))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Queens,Plaza College Way,37th Avenue,Group,"Founded in 1916, Plaza College first began as an independent institution based in Long Island City.  As long-range plans indicated a need for more space, the college moved to 37th Avenue in Jackson Heights in 1970.  With additional accommodations availab",between 74th Street and 75th Street,11372,Sears,,"MULTILINESTRING ((-73.89170891299995 40.74897980700007, -73.89088636899999 40.74907011700003))",POINT (-73.89129764099997 40.74902496200005),40.74902496200005,-73.89129764099997
"MULTILINESTRING ((-73.98483682599993 40.682873605000054, -73.98520697099997 40.68233256000008))",Int. No. 897,03/19/2023,2023,2023/044,Street,Brooklyn,Virgil and Claudia Bell Way,Nevins Street,Male/Female,"Virgil (July 18, 1930 – June 4, 2016) and Claudia Bell (June 18, 1930 – September 16, 2022) moved to Wyckoff Gardens in 1965. One of the first families to move into the development.  They were both pillars of the community. Upon retirement as a carp",Between Warren Street and Baltic Street,11217,Restler,,"MULTILINESTRING ((-73.98483682599993 40.682873605000054, -73.98520697099997 40.68233256000008))",POINT (-73.98502189849995 40.682603082500066),40.682603082500066,-73.98502189849995
"MULTILINESTRING ((-74.00495955399998 40.70688181000003, -74.00410661199999 40.70740842400005))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Manhattan,New York Naval Militia Place,Water Street,Group,"The New York Naval Militia is the “Navy National Guard” in New York State.  It is part of the NYS Division of Military and Naval Affairs, which is composed of the National Guard, Air National Guard, and the State Guard.  The NYNM is a federally recog",between Fulton Street and John Street,10038,Gerson,,"MULTILINESTRING ((-74.00495955399998 40.70688181000003, -74.00410661199999 40.70740842400005))",POINT (-74.00453308299998 40.70714511700004),40.70714511700004,-74.00453308299998
"MULTILINESTRING ((-73.89230263499996 40.74715622600007, -73.89157843799995 40.74723299100003))",Int. No. 1054,02/25/2016,2016,2016/023,Street,Queens,Diversity Plaza,37th Road,Group,"This co-name will honor Jackson Heights as one of the most diverse neighborhoods in the world and celebrates the neighborhood’s unity.  Friends of Diversity Plaza is a community partnership committed to making Jackson Heights Diversity Plaza a vibrant,",Between 73rd Street and 74th Street,11372,Dromm,,"MULTILINESTRING ((-73.89230263499996 40.74715622600007, -73.89157843799995 40.74723299100003))",POINT (-73.89194053649996 40.74719460850005),40.74719460850005,-73.89194053649996
