Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes,geometry,centroid,latitude,longitude,pct_male_named_streets,pct_male_pop
"MULTILINESTRING ((-73.91029340799997 40.83452328100003, -73.90925628699995 40.836295568000025, -73.90917909899997 40.83688631900003))",Int. No. 1054,02/25/2016,2016,2016/023,Street,Bronx,Rev. William E. Thompson Way,Teller Avenue,Male,"Rev. William E. Thompson founded the first African American Church in Morrisania in 1956.  The Church helped members of the community with health care needs, housing and other social issues.  He worked as a social worker for the City at the Spofford Dete",Between East 169th Street and East 170th Street,10456,Gibson,,"MULTILINESTRING ((-73.91029340799997 40.83452328100003, -73.90925628699995 40.836295568000025, -73.90917909899997 40.83688631900003))",POINT (-73.9096495509768 40.835675132167744),40.835675132167744,-73.9096495509768,64.7%,47%
"MULTILINESTRING ((-73.95585868299997 40.68262297100006, -73.95392749199993 40.68284595800003))",Int. No. 968,07/20/2024,2024,2024/081,Street,Brooklyn,Detective Troy D. Patterson Way,Jefferson Avenue,Male,"Troy Patterson served with the NYPD for over six years and was responsible for over 150 arrests. In 1990, he was shot during a robbery in front of his home while off-duty and remained in a coma until his death in 2023.  He was promoted to Detective in 20",Between Bedford Avenue and Franklin Avenue,11216,Ossé,,"MULTILINESTRING ((-73.95585868299997 40.68262297100006, -73.95392749199993 40.68284595800003))",POINT (-73.95489308749995 40.682734464500044),40.68273446450005,-73.95489308749995,66.3%,48%
"MULTILINESTRING ((-73.94849519899998 40.83640028800005, -73.94907455599997 40.83434254000008))",Int. No. 849,08/10/2015,2015,2015/076,Street,Manhattan,Robert Lowery Way,Riverside Drive,Male,Robert Lowery was the first African American fire commissioner in New York City and the first commissioner appointed by Mayor John V. Lindsay after his election in 1965.  He served at a time when there was a rise in arson-related fires throughout minorit,Between 155th Street and 158th Street,10032,Levine,,"MULTILINESTRING ((-73.94849519899998 40.83640028800005, -73.94907455599997 40.83434254000008))",POINT (-73.94878487749997 40.835371414000065),40.835371414000065,-73.94878487749997,53.4%,48%
"MULTILINESTRING ((-73.85946186899997 40.832290224000076, -73.85873230799996 40.83239981300005))",Int. No. 388,07/09/2014,2014,2014/034,Street,Bronx,Jahi Williams-Simmons  Way,,Male,"Jahi Williams-Simmons was born in Georgetown, South Carolina. He was the cofounder and chair of Survival Instinct-The Network, Inc. (SITNET), a not-for-profit cancer awareness organization that promotes cancer awareness, early detection and screening. He",At the intersection of Newbold Avenue and the Cross Bronx Expressway Service Road,10472,Palma,,"MULTILINESTRING ((-73.85946186899997 40.832290224000076, -73.85873230799996 40.83239981300005))",POINT (-73.85909708849996 40.832345018500064),40.832345018500064,-73.85909708849996,64.7%,47%
"MULTILINESTRING ((-73.94965217699996 40.650825041000076, -73.95853565399995 40.65042618500007, -73.95969249799998 40.65027922100006, -73.96084235299998 40.65013314600003, -73.96150861399997 40.64996464800004, -73.96222637299996 40.649783125000056, -73.97069142499998 40.64642935000006))",Int. No.  1631,08/23/2019,2019,2019/158,Street,Brooklyn,Pierre Toussaint Boulevard,Church Avenue,Male,"Pierre Toussaint was born a slave in Haiti and was brought to New York City by his owners in 1787, where he served as an apprentice at a local hairdresser and later became highly proficient at the trade, working successfully in the homes of wealthy women",Between Nostrand Avenue and Coney Island Avenue,11226,Eugene,,"MULTILINESTRING ((-73.94965217699996 40.650825041000076, -73.95853565399995 40.65042618500007, -73.95969249799998 40.65027922100006, -73.96084235299998 40.65013314600003, -73.96150861399997 40.64996464800004, -73.96222637299996 40.649783125000056, -73.97069142499998 40.64642935000006))",POINT (-73.96035666070323 40.64949015493505),40.64949015493505,-73.96035666070323,66.3%,48%
"MULTILINESTRING ((-73.74419192499994 40.69731265400003, -73.74342213099999 40.697172339000076))",Int. No. 825,10/10/2008,2008,2008/048,Street,Queens,Jack Thompson Drive,116th Road,Male,Jack Thompson was the President of the Cambria Heights Civic Association.  He was an inspiration to many in his community and other civic leaders and activists in Cambria Heights.,Between Springfield Boulevard and Nashville Boulevard,11411,Comrie,,"MULTILINESTRING ((-73.74419192499994 40.69731265400003, -73.74342213099999 40.697172339000076))",POINT (-73.74380702799996 40.69724249650005),40.69724249650005,-73.74380702799996,63.1%,49%
"MULTILINESTRING ((-73.98109831099998 40.57473396100005, -73.98092396699997 40.57352176000006))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Brooklyn,Ruby Jacobs Walk,Stillwell Avenue,Male,"The following biographical material was provided by Dick Zigun and Charles Denson.  Rubin “Ruby” Jacobs was born in Coney Island on May 5, 1922.  He spent his entire life living and promoting the Coney Island lifestyle as a lifelong resident, as a Se",The east side of Stillwell Avenue between Bowery and the Boardwalk,11224,"Recchia, Jr.",,"MULTILINESTRING ((-73.98109831099998 40.57473396100005, -73.98092396699997 40.57352176000006))",POINT (-73.98101113899997 40.574127860500056),40.574127860500056,-73.98101113899997,66.3%,48%
"MULTILINESTRING ((-73.86123673699996 40.760662317000026, -73.86063592199997 40.761336812000025))",Int. No. 988,07/29/2018,2018,2018/139,Street,Queens,Patrick Beckles Way,31st Drive,Male,"Patrick Beckles was very involved in civic and community activities for over 40 years.  He was the president of the Ditmars Boulevard Block Association, volunteered as an auxiliary police officer with the rank of sergeant at the 115th precinct, and was a",Between Astoria Boulevard and Ditmars Boulevard,11369,Moya,,"MULTILINESTRING ((-73.86123673699996 40.760662317000026, -73.86063592199997 40.761336812000025))",POINT (-73.86093632949996 40.760999564500025),40.760999564500025,-73.86093632949996,63.1%,49%
"MULTILINESTRING ((-73.85937592899995 40.84669500100006, -73.85627797799998 40.84810919200004))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Bronx,Dominic Castore Way,Morris Park Avenue,Male,"Dominic Castore was the Chairperson of Bronx Community Board 11 for 25 years. He joined CB 11 in 1979, when he was appointed by then-Bronx Borough President Stanley Simon and helped improve the northeast Bronx through his collaboration with civic associa",Between Colden Avenue and Bronxdale Avenue,10462,Vacca,,"MULTILINESTRING ((-73.85937592899995 40.84669500100006, -73.85627797799998 40.84810919200004))",POINT (-73.85782695349997 40.84740209650005),40.84740209650005,-73.85782695349997,64.7%,47%
"MULTILINESTRING ((-73.89129604199996 40.734518112000046, -73.89011984399997 40.73456929900004, -73.88924091599995 40.73460754900003, -73.88890390899996 40.734599409000054, -73.88856614999997 40.73455725500003))",Int. No. 968,07/20/2024,2024,2024/081,Street,Queens,Patrolman Arthur Howarth Way,Calamus Avenue,Male,Patrolman Arthur Howarth served with the NYPD for 11 years. He and Patrolman Angelo Favata were killed in an automobile accident while assigned to the 85th Precinct.,Between 72nd Place and 74th Street,11377,Holden,,"MULTILINESTRING ((-73.89129604199996 40.734518112000046, -73.89011984399997 40.73456929900004, -73.88924091599995 40.73460754900003, -73.88890390899996 40.734599409000054, -73.88856614999997 40.73455725500003))",POINT (-73.88993015901421 40.73456977103193),40.73456977103193,-73.88993015901421,63.1%,49%
"MULTILINESTRING ((-73.93796083299998 40.85561551700005, -73.93867161899993 40.854702588000066))",Int. No. 620,02/05/2015,2015,2015/015,Street,Manhattan,Jacob Birnbaum Way,Cabrini Boulevard,Male,"Jacob Birnbaum founded the Student Struggle for Soviet Jewry and is considered the father of the Movement to Free Soviet Jewry.  He was born in Hamburg, Germany, and after Hitler came to power in 1933, his family moved to London.   He worked with survivo",Between 186th Street and 187th Street,10033,Rodriguez,,"MULTILINESTRING ((-73.93796083299998 40.85561551700005, -73.93867161899993 40.854702588000066))",POINT (-73.93831622599996 40.855159052500056),40.855159052500056,-73.93831622599996,53.4%,48%
"MULTILINESTRING ((-73.90324937899999 40.751833376000036, -73.90269729099998 40.751888801000064))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Lowell Marin Stage,34th Avenue,Male,"Lowell Marin grew up in the Woodside Houses and was a long-time community member in the area. He dedicated his life to the education of countless musicians, young and old. His students went on to play in internationally recognized bands and to earn a PhD",Between 59th Street and Broadway,11377,Won,,"MULTILINESTRING ((-73.90324937899999 40.751833376000036, -73.90269729099998 40.751888801000064))",POINT (-73.90297333499998 40.75186108850005),40.75186108850005,-73.90297333499998,63.1%,49%
"MULTILINESTRING ((-73.90693495599999 40.74410573800003, -73.90713165199998 40.74328475400006))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Enoch Gregory Hawthorne Way,58th Street,Male,"Enoch Gregory Hawthorne, aka “The Dixie Drifter,” was born on December 13, 1936 in Hertford, North Carolina. He served in the United States Army and received an honorable discharge. He is best known as a legendary soul DJ and one of the first African",Between 43rd Avenue and 41st Drive,11377,Won,,"MULTILINESTRING ((-73.90693495599999 40.74410573800003, -73.90713165199998 40.74328475400006))",POINT (-73.90703330399998 40.743695246000044),40.74369524600005,-73.90703330399998,63.1%,49%
"MULTILINESTRING ((-73.99854644599998 40.57503613800003, -73.99813338499996 40.57289288000004))",Int. No. 877-A,12/29/2008,2008,2008/064,Street,Brooklyn,Robert “Mr. Lou” Williams Way,West 32nd Street,Male,"Robert “Mr. Lou” Williams was very dedicated to the Coney Island community.  He served as a mentor, teacher and friend for over 40 years dedicating his life to enriching the lives of the youth of Coney Island.  He has had a direct positive impact on",Between Surf Avenue and Mermaid Avenue,11224,"Recchia, Jr.",,"MULTILINESTRING ((-73.99854644599998 40.57503613800003, -73.99813338499996 40.57289288000004))",POINT (-73.99833991549997 40.573964509000035),40.573964509000035,-73.99833991549997,66.3%,48%
"MULTILINESTRING ((-73.87337034499996 40.76832699200003, -73.87302702199997 40.766435337000075))",Int. No. 613,05/09/2005,2005,2005/043,Street,Queens,Malcolm X Place,97th Street,Male,"Malcolm X was a prominent African-American leader during the 1950s and 60s.  While he remains one of the more controversial historical figures of his time, his significant impact on the civil rights movement is unquestioned.  This street sign will be pla",Between 23rd and 24th Streets,11369,Monserrate,,"MULTILINESTRING ((-73.87337034499996 40.76832699200003, -73.87302702199997 40.766435337000075))",POINT (-73.87319868349996 40.76738116450005),40.76738116450005,-73.87319868349996,63.1%,49%
"MULTILINESTRING ((-73.92744681499994 40.67837785100005, -73.92754069199998 40.67737704900003))",Int. No. 849,08/10/2015,2015,2015/076,Street,Brooklyn,Detective Clarence M. Surgeon Way,Rochester Avenue,Male,Clarence M. Surgeon was a dedicated activist in the community.  He served during the Korean War and was discharged with the rank of Sergeant First Class.  He was appointed to the NYC Transit Authority Police Department in 1955.  He is remembered for his,Between Atlantic Avenue and Herkimer Street,11233,Cornegy,,"MULTILINESTRING ((-73.92744681499994 40.67837785100005, -73.92754069199998 40.67737704900003))",POINT (-73.92749375349996 40.67787745000004),40.67787745000004,-73.92749375349996,66.3%,48%
"MULTILINESTRING ((-73.87638697999995 40.72557577500004, -73.87395527199999 40.722551690000046, -73.87236545399998 40.72057801100004))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Lt. Henry O. Schmiemann Way,82nd Place,Male,Henry O. Schmiemann served with the NYPD for 21 years and was assigned to the Inspections Services. He was killed while being mugged on his way to work.,Between Penelope Avenue and Eliot Avenue,11379,Holden,,"MULTILINESTRING ((-73.87638697999995 40.72557577500004, -73.87395527199999 40.722551690000046, -73.87236545399998 40.72057801100004))",POINT (-73.87437672303678 40.723076485735774),40.723076485735774,-73.87437672303678,63.1%,49%
"MULTILINESTRING ((-73.88875787799998 40.67024859900005, -73.88839846199994 40.66888148000004))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Brooklyn,Daesean Hill Drive,Hendrix Street,Male,"Daesean, affectionately known as “Dae Dae” was a loving a playful boy who loved school and whose life was taken violently on November 1, 2003, when he was gunned down outside his home in the Sutter Gardens Housing Complex during a drug dealer dispute",between Sutter Avenue and Blake Avenue,11207,Barron,,"MULTILINESTRING ((-73.88875787799998 40.67024859900005, -73.88839846199994 40.66888148000004))",POINT (-73.88857816999996 40.66956503950004),40.66956503950004,-73.88857816999996,66.3%,48%
"MULTILINESTRING ((-73.81778746599997 40.79343015200004, -73.81750717499995 40.79274684400008))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Queens,George J. Regan Street,149th Street,Male,"George J. Regan was an attorney who practiced in New York for over 45 years and was a member of many community and professional organizations.  He was president and counsel to the Queens County Civic Council, a member of the Executive Committee of the Wh",Between 8th Avenue and 9th Avenue,11357,Halloran,,"MULTILINESTRING ((-73.81778746599997 40.79343015200004, -73.81750717499995 40.79274684400008))",POINT (-73.81764732049996 40.79308849800006),40.79308849800006,-73.81764732049996,63.1%,49%
"MULTILINESTRING ((-73.98806708599994 40.72805949600007, -73.98771303399997 40.72854427400006))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Manhattan,Nicholas Figueroa Way,Second Avenue,Male,"Moises Locon and Nicholas Figueroa were tragically killed in an explosion in the East Village.  The explosion led to the collapse of three buildings and severely damaged a fourth building, and also injuring 22 people.  As a result of this explosion and o",Between 7th Street and Saint Marks Place at the northwest corner of Second Avenue and East 7th Street,10003,Not Stated,,"MULTILINESTRING ((-73.98806708599994 40.72805949600007, -73.98771303399997 40.72854427400006))",POINT (-73.98789005999996 40.728301885000064),40.728301885000064,-73.98789005999996,53.4%,48%
"MULTILINESTRING ((-73.93781525499998 40.83358216200003, -73.93860382399998 40.83289622400008, -73.93892568899997 40.83252687000004, -73.93915099499998 40.83209054200006, -73.93936557199999 40.83159332900004, -73.93955332599995 40.83134167600008, -73.93977058499996 40.83113467100003, -73.93995863599997 40.83088261900008, -73.94008172099996 40.83043247200004))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Manhattan,Willie Mays Drive,At the Harlem River Driveway / Polo Grounds Service Road,Male,"Willie Mays was born on May 6, 1931, in Westfield, Alabama, and began playing baseball at an early age. He played in the minor leagues for two seasons and was picked up by the New York Giants in 1951. Although having no hits in his first twelve at bats,",Between 155th Street and 163rd Street,10033,Rodriguez and Dickens,,"MULTILINESTRING ((-73.93781525499998 40.83358216200003, -73.93860382399998 40.83289622400008, -73.93892568899997 40.83252687000004, -73.93915099499998 40.83209054200006, -73.93936557199999 40.83159332900004, -73.93955332599995 40.83134167600008, -73.93977058499996 40.83113467100003, -73.93995863599997 40.83088261900008, -73.94008172099996 40.83043247200004))",POINT (-73.93907776643385 40.83209480491874),40.83209480491874,-73.93907776643385,53.4%,48%
"MULTILINESTRING ((-74.01139006699998 40.633726798000055, -74.01240930599994 40.63274975300004))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Brooklyn,Detective James V. Nemorin Street,8th Avenue,Male,"James V. Nemorin was born on December 2, 1966 in Mole St. Nicolas, Haiti. In 1987, at the age of 21, James arrived in the United States and took up residence Brooklyn. He later attended John Jay College of Criminal Justice graduating with a degree in Cri",between 63rd Street and 65th Street,11220,Gonzalez,,"MULTILINESTRING ((-74.01139006699998 40.633726798000055, -74.01240930599994 40.63274975300004))",POINT (-74.01189968649996 40.63323827550005),40.63323827550005,-74.01189968649996,66.3%,48%
"MULTILINESTRING ((-73.86593481799997 40.572532273000036, -73.86435529499994 40.57305972100005))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Queens,Rabbi Joseph Weiss Avenue,Newport Avenue,Male,"Rabbi Joseph Weiss was born on April 13, 1913 and for over 52 years led the Congregation of West End Temple.  During his years of service, Rabbi Weiss was inspired and devoted to the congregants and the community.  In addition to his leadership in the Te",Between Beach 147th Street and Beach 149th Street,11694,Addabbo,,"MULTILINESTRING ((-73.86593481799997 40.572532273000036, -73.86435529499994 40.57305972100005))",POINT (-73.86514505649995 40.57279599700004),40.57279599700004,-73.86514505649995,63.1%,49%
"MULTILINESTRING ((-73.84379955599996 40.856213152000066, -73.84075256699998 40.855758722000076))",Int. No. 1300,01/20/2019,2019,2019/024,Street,Bronx,Police Officer Manuel (Manny) Vargas Way,Rhinelander Avenue,Male,"Manny Vargas was a highly decorated 23-year veteran of the NYPD.  He was appointed to the NYPD on February 28, 1994.  After graduating, the Police Academy Officer, he was assigned to the 24th Precinct in Manhattan.  He was later transferred to the 49",Between Eastchester Road and Stillwell Avenue,10461,Gjonaj,,"MULTILINESTRING ((-73.84379955599996 40.856213152000066, -73.84075256699998 40.855758722000076))",POINT (-73.84227606149997 40.85598593700008),40.85598593700008,-73.84227606149997,64.7%,47%
"MULTILINESTRING ((-73.89476434899996 40.704127338000035, -73.89414922899994 40.70262354700003))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Patrolman Charles J. Reynolds Way,62nd Street,Male,Charles J. Reynolds served with the NYPD and was assigned to the 116th Precinct. He was killed in the line of duty when he was shot and killed after arresting several men in a taxicab.,Between Catalpa Avenue and Cypress Hills Street,11385,Holden,,"MULTILINESTRING ((-73.89476434899996 40.704127338000035, -73.89414922899994 40.70262354700003))",POINT (-73.89445678899995 40.70337544250003),40.70337544250003,-73.89445678899995,63.1%,49%
"MULTILINESTRING ((-73.91895753999995 40.75903346300004, -73.91716045999993 40.76126013800007))",Int. No. 980,12/18/2001,2001,2001/068,Street,Queens,Bob Stern Way,Steinway Street,Male,"Robert H. “Bob” Stern owned and operated “Sig Stern Inc.” which, for over 50 years, was the most popular children’s store on Steinway Street.  Mr. Stern closed his store in 1975 and embarked on a successful second career as a real estate broker",between 31st Avenue and Broadway,11103,"Vallone, Dear, Foster, Koslowitz, Marshall, O’Donovan, Povman,  Abel and Golden",,"MULTILINESTRING ((-73.91895753999995 40.75903346300004, -73.91716045999993 40.76126013800007))",POINT (-73.91805899999994 40.76014680050005),40.76014680050005,-73.91805899999994,63.1%,49%
"MULTILINESTRING ((-73.89599355599995 40.819002821000026, -73.89511915599996 40.81982287000005))",Int. No. 1613,06/24/2017,2017,2017/110,Street,Bronx,Msgr. William Smith Way,Beck Street,Male,"Msgr. William Smith was assigned to St. John Chrysostom Church.  While at St. John’s, he co-founded the Mid Bronx Desperadoes (MBD), a coalition of volunteers who were determined to save their community from the overwhelming incidents of arson, disinve",Between Intervale Avenue and Tiffany Street,10459,Salamanca,,"MULTILINESTRING ((-73.89599355599995 40.819002821000026, -73.89511915599996 40.81982287000005))",POINT (-73.89555635599996 40.81941284550004),40.81941284550004,-73.89555635599996,64.7%,47%
"MULTILINESTRING ((-73.98261339199996 40.665657338000074, -73.98302913399993 40.66515480900006))",Int. No. 2187,01/17/2021,2021,2021/014,Street,Brooklyn,Pete Hamill Way,7th Avenue,Male,"Pete Hamill was born in Park slope to Irish immigrants, and was the editor of three New York daily newspapers, working for over 40 years covering events and issues like conflicts in Vietnam, Lebanon, Nicaragua, and Northern Ireland as well as racial and",Between 11th Street and 12th Street,11215,Lander,,"MULTILINESTRING ((-73.98261339199996 40.665657338000074, -73.98302913399993 40.66515480900006))",POINT (-73.98282126299995 40.665406073500066),40.665406073500066,-73.98282126299995,66.3%,48%
"MULTILINESTRING ((-73.91638379299997 40.65775936700004, -73.91477714899997 40.65632687800007))",Int. No. 1613,06/24/2017,2017,2017/110,Street,Brooklyn,Horace L. Morancie Way,Rockaway Parkway,Male,"Horace L. Morancie co-founded and was the former Chair of the Urban Resource Institute (URINYC).  He fought to provide vital social services to city residents and developed programs to address several community issues including housing, job training and",Between Wilmohr Street and Church Avenue,11212,Barron,,"MULTILINESTRING ((-73.91638379299997 40.65775936700004, -73.91477714899997 40.65632687800007))",POINT (-73.91558047099997 40.657043122500056),40.657043122500056,-73.91558047099997,66.3%,48%
"MULTILINESTRING ((-73.92478637099998 40.73151315900003, -73.92529777899995 40.73042372300006))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Patrolman Joseph L. Rauchut Way,43rd Street,Male,"Patrolman Joseph L. Rauchut was assigned to Motorcycle Precinct 2, the present day Highway 2. He was killed in the line of duty when he was struck by a vehicle while conducting a vehicle stop.",Between 54th Road and 55th Avenue,11378,Holden,,"MULTILINESTRING ((-73.92478637099998 40.73151315900003, -73.92529777899995 40.73042372300006))",POINT (-73.92504207499996 40.730968441000044),40.73096844100005,-73.92504207499996,63.1%,49%
"MULTILINESTRING ((-73.94464832299997 40.787388942000064, -73.94253796099997 40.786499443000025))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Manhattan,Edwin G. Suarez Way,East 101st,Male,Edwin G. Suarez was born and raised in East Harlem and worked tirelessly much of his life to safeguard the community of East Harlem. He served as the District Leader of the 68th Assembly District.  He was also appointed Special Legislative Assistant to C,Between 2nd Avenue and the FDR Drive,10029,Mark-Viverito,,"MULTILINESTRING ((-73.94464832299997 40.787388942000064, -73.94253796099997 40.786499443000025))",POINT (-73.94359314199997 40.786944192500044),40.78694419250005,-73.94359314199997,53.4%,48%
"MULTILINESTRING ((-73.94242258099996 40.842228367000075, -73.94280613699993 40.84240185700003, -73.94301534899995 40.84261288500005, -73.94305264199994 40.842945643000064, -73.94296278799999 40.84312826200005))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Manhattan,Joe Hintersteiner Place,Haven Avenue,Male,"Joe Hintersteiner was a prolific watercolorist and beloved teacher, who devoted most of his later life to promoting the arts and to community improvement in Washington Heights and Inwood.  He was a diligent long serving member of Community Board 12, Manh",Between West 168th Street and West 169th Street,10032,Jackson,,"MULTILINESTRING ((-73.94242258099996 40.842228367000075, -73.94280613699993 40.84240185700003, -73.94301534899995 40.84261288500005, -73.94305264199994 40.842945643000064, -73.94296278799999 40.84312826200005))",POINT (-73.94285999729958 40.84260119597325),40.84260119597325,-73.94285999729958,53.4%,48%
"MULTILINESTRING ((-73.88686627999994 40.69668255400006, -73.88621062899995 40.69631199000003, -73.88582915899997 40.695593452000026, -73.88510198199998 40.69482067600006, -73.88480991999995 40.694391352000025, -73.88458938299993 40.69388519800003, -73.88323635699999 40.69278701200005, -73.88272057499995 40.69236837200003))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Queens,Patrolman Henry E.A. Meyer Way,Cypress Hills Street,Male,"Henry E.A. Meyer served with the NYPD and was assigned to the 54th Precinct, modern day 104th Precinct. He was killed in the line of duty while trying to apprehend two men for robbery.",Between 80th Avenue and Cypress Avenue,11385,Holden,,"MULTILINESTRING ((-73.88686627999994 40.69668255400006, -73.88621062899995 40.69631199000003, -73.88582915899997 40.695593452000026, -73.88510198199998 40.69482067600006, -73.88480991999995 40.694391352000025, -73.88458938299993 40.69388519800003, -73.88323635699999 40.69278701200005, -73.88272057499995 40.69236837200003))",POINT (-73.884845453627 40.69449777687364),40.69449777687364,-73.884845453627,63.1%,49%
"MULTILINESTRING ((-73.89038665899994 40.722483399000055, -73.88889654199994 40.72060869000006))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Queens,Joseph Schmidt Way,69th Lane,Male,"Joseph Schmidt served in the United States Military during WWII. He was assigned to the 1st Infantry Division, the Big Red One and was shipped to Tunisia, North Africa for his first campaign of heavy fighting where he was awarded the Bronze Star Medal fo",Between Eliot Avenue and 60th Avenue,11378,Holden,,"MULTILINESTRING ((-73.89038665899994 40.722483399000055, -73.88889654199994 40.72060869000006))",POINT (-73.88964160049994 40.72154604450006),40.72154604450006,-73.88964160049994,63.1%,49%
"MULTILINESTRING ((-73.88546588499997 40.84167450600006, -73.88580384399995 40.840022763000036))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Bronx,Bishop Francisco Garmendia Place,Crotona Parkway,Male,Bishop Francisco Garmendia was the first Hispanic bishop to serve the archdiocese of New York and was pastor of St. Thomas Aquinas parish in the Bronx for a quarter century.  He was ordained to the episcopacy by Cardinal Terence Cooke in St. Patrick’s,Between Elsmere Place and East 176th Street,10460,Rivera,,"MULTILINESTRING ((-73.88546588499997 40.84167450600006, -73.88580384399995 40.840022763000036))",POINT (-73.88563486449996 40.84084863450005),40.84084863450005,-73.88563486449996,64.7%,47%
"MULTILINESTRING ((-74.09668372699997 40.64043015200008, -74.09640477699998 40.639103128000045))",Int. No. 973,12/04/2001,2001,2001/060,Street,Staten Island,P.O. Joseph Garcia Place,Clinton Avenue,Male,"The following biographical information was provided by Dolores Kennedy, a member of Joseph Garcia’s family, and Staten Island Community Board No. 1. 

Joseph Robert Garcia was born on August 25, 1940 at St. Vincent’s Hospital on Staten Island.  He gr",Between Prospect Avenue and Henderson Avenue,10301,"O’Donovan, Oddo and Council Member Abel",,"MULTILINESTRING ((-74.09668372699997 40.64043015200008, -74.09640477699998 40.639103128000045))",POINT (-74.09654425199997 40.63976664000006),40.63976664000006,-74.09654425199997,67.5%,49%
"MULTILINESTRING ((-73.91282793799996 40.876517454000066, -73.91288962899995 40.876332898000044, -73.91291108599995 40.87616862400006, -73.91288158199995 40.875961758000074, -73.91282793799996 40.87576300500007))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Bronx,Michael Pichardo Way,Terrace View Avenue,Male,"Michael Pichardo was born in Santo Domingo in the Dominican Republic. He came to the United States in his early teens and graduated from a military high school in Alabama. He moved to Inwood a short time later, attending Hunter College and becoming a tut",between Teunissen Place and Adrian Avenue,10463,Martinez,,"MULTILINESTRING ((-73.91282793799996 40.876517454000066, -73.91288962899995 40.876332898000044, -73.91291108599995 40.87616862400006, -73.91288158199995 40.875961758000074, -73.91282793799996 40.87576300500007))",POINT (-73.91287672440372 40.876141366495055),40.876141366495055,-73.91287672440372,64.7%,47%
"MULTILINESTRING ((-73.77290547499996 40.736396349000074, -73.77377451099994 40.738668493000034, -73.77448261399996 40.74066824000005, -73.77577543899997 40.743411698000045))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Queens,Brother Ralph Clifford Way,Francis Lewis Boulevard,Male,"Brother Ralph Clifford, O.S.F. was born in the Bronx as Rodger Clifford in 1930 and was educated at St. Anthony of Padual in Greenpoint, Brooklyn.  After graduating from St. Francis Prep in 1948, he entered the Franciscan Brothers, taking the name Broth",from Horace Harding Expressway to 73rd Avenue,11365,Weprin,,"MULTILINESTRING ((-73.77290547499996 40.736396349000074, -73.77377451099994 40.738668493000034, -73.77448261399996 40.74066824000005, -73.77577543899997 40.743411698000045))",POINT (-73.7742756444309 40.73993152917625),40.73993152917625,-73.7742756444309,63.1%,49%
"MULTILINESTRING ((-73.89667674299994 40.83035231000008, -73.89643236399996 40.828976752000074))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Bronx,Elmo Hope Way – Jazz Pioneer,Lyman Place,Male,"Elmo Hope was born in New York City.  By the age of 14, he had already made a name for himself in Harlem, attending one of its best music schools and performing as a concert pianist and was also beginning to compose jazz pieces.  In 1940, he walked into",Between Freeman Street and East 169th Street,10459,Gibson,,"MULTILINESTRING ((-73.89667674299994 40.83035231000008, -73.89643236399996 40.828976752000074))",POINT (-73.89655455349995 40.82966453100008),40.82966453100008,-73.89655455349995,64.7%,47%
"MULTILINESTRING ((-73.95741329199996 40.682436718000076, -73.95605072999996 40.68259943800007))",Int. No.  1631,08/23/2019,2019,2019/158,Street,Brooklyn,FBI Special Agent Edwin R. Woodriffe Way,Jefferson Avenue,Male,"Special Agent Edwin R. Woodriffe was born and raised in Brooklyn, NY.  He later served with the Federal Bureau of Investigation for two years before he was killed in the line of duty while he and Special Agent Anthony Palmisano were shot in an apartment",Between Claver Place and Franklin Avenue,11238,Cumbo,,"MULTILINESTRING ((-73.95741329199996 40.682436718000076, -73.95605072999996 40.68259943800007))",POINT (-73.95673201099996 40.68251807800007),40.68251807800007,-73.95673201099996,66.3%,48%
