Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes,geometry,centroid,latitude,longitude,pct_female_named_streets,pct_female_pop
"MULTILINESTRING ((-73.94666143399996 40.82396860700004, -73.94591935699998 40.82364791600003))",Int. No. 1217,12/30/2013,2013,2013/154,Street,Manhattan,Pat Jones Way,144th Street,Female,"Pat Jones joined Community Board 9 in 2001 and served as chair for two terms from 2008 to 2010.  She co-authored the Community Benefits Agreement, a legal document outlining $76 million in funding and benefits for the neighborhood from Columbia Universit",Between Hamilton Terrace and Convent Avenue,10031,Jackson,,"MULTILINESTRING ((-73.94666143399996 40.82396860700004, -73.94591935699998 40.82364791600003))",POINT (-73.94629039549997 40.82380826150004),40.82380826150004,-73.94629039549997,26.5%,52%
"MULTILINESTRING ((-73.90635568399995 40.82182946700004, -73.90580314899995 40.823223891000055))",Int. No. 988,07/29/2018,2018,2018/139,Street,Bronx,Joanne Webb-Dixon Way,Trinity Avenue,Female,"Joanne Webb-Dixon was a member of Bronx Community Board 3 since 2003.  She also served on the Health and Welfare Committee, the Usher Board and United Methodist Women and the Port Washington Community Partnership Board of Directors.  She was a member",Between East 161st Street and East 163rd Street,10456,Gibson,,"MULTILINESTRING ((-73.90635568399995 40.82182946700004, -73.90580314899995 40.823223891000055))",POINT (-73.90607941649995 40.82252667900005),40.82252667900005,-73.90607941649995,25.5%,53%
"MULTILINESTRING ((-73.85074234299998 40.891444457000034, -73.85145849299994 40.893324033000056))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Bronx,Gloria D. Alexander Way,Digney Avenue,Female,Gloria D. Alexander graduated with honors from Rhodes High School and went on to receive her bachelors from Hunter College.  She later received her nursing certification from Mt. Sinai School of Nursing.  Her love for life and animals fueled her explorat,Between East 233rd Street and Bussing Avenue,10466,Seabrook,,"MULTILINESTRING ((-73.85074234299998 40.891444457000034, -73.85145849299994 40.893324033000056))",POINT (-73.85110041799996 40.892384245000045),40.892384245000045,-73.85110041799996,25.5%,53%
"MULTILINESTRING ((-73.78937615099994 40.66699126000003, -73.78913964699996 40.66836747000008, -73.78887990599998 40.669486851000045, -73.78810620399997 40.67282107600005))",Int. No. 761-A,03/07/2012,2012,2012/014,Street,Queens,Shirley N. Moore Street,150th Street,Female,Shirley N. Moore was a community activist who served as a member of the Board of Directors at Jamaica Chamber of Commerce and educational institutions such as PTA Board Member of John Adams High Scholl and Advisory Board Member at York College.  She serv,Between Rockaway Boulevard and North Conduit Avenue,11434,Wills and Comrie,,"MULTILINESTRING ((-73.78937615099994 40.66699126000003, -73.78913964699996 40.66836747000008, -73.78887990599998 40.669486851000045, -73.78810620399997 40.67282107600005))",POINT (-73.78877149031936 40.66991228440046),40.66991228440046,-73.78877149031936,17.6%,51%
"MULTILINESTRING ((-73.87671147099996 40.66884582500006, -73.87535427399996 40.66701074800005))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Brooklyn,Emma Lee Williams Court,Montauk Avenue,Female,"Emma Lee Williams dedicated her life to helping children find their true potential through organizations and community involvement. Her commitment showed in her heart, rather it was through reading scriptures once a month at church or teaching children h",Between New Lots and Hegeman Avenues,11208,Barron,,"MULTILINESTRING ((-73.87671147099996 40.66884582500006, -73.87535427399996 40.66701074800005))",POINT (-73.87603287249996 40.66792828650006),40.66792828650006,-73.87603287249996,22.1%,52%
"MULTILINESTRING ((-73.90361417599996 40.67877807900004, -73.90344251499994 40.677992903000074))",Int. No. 935,10/02/2012,2012,2012/048,Street,Brooklyn,Police Officer Irma Lozada Way,Van Sinderen Avenue,Female,"On September 21, 1984, Police Officer Irma Lozada was the first female Police Officer to be killed in the line of duty in New York City.  She was a four year veteran of the NYC Transit Police Force when she was gunned down trying to apprehend a robbery s",Between Fulton Street and Broadway,11233,Dilan,,"MULTILINESTRING ((-73.90361417599996 40.67877807900004, -73.90344251499994 40.677992903000074))",POINT (-73.90352834549995 40.67838549100006),40.67838549100006,-73.90352834549995,22.1%,52%
"MULTILINESTRING ((-73.96753640999998 40.64758694200003, -73.96733524499996 40.64661620500004))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Brooklyn,Jessie Streich-Kest Way,Argyle Road,Female,"Jessie Streich-Kest was killed on October 29, 2012 by a falling tree limb while walking her dog.  She was a committed social activist, an energetic and enthusiastic public school teacher, a passionate lover of animals and a supportive daughter and frie",Between Albemarle Road and Church Avenue,11218,Eugene,,"MULTILINESTRING ((-73.96753640999998 40.64758694200003, -73.96733524499996 40.64661620500004))",POINT (-73.96743582749997 40.64710157350004),40.64710157350004,-73.96743582749997,22.1%,52%
"MULTILINESTRING ((-73.83310145399997 40.714483460000054, -73.83246577099999 40.71496122000008))",Int. No. 457,12/05/2006,2006,2006/050,Street,Queens,Sharon Michele Rivers & Caprice Antoinette Bush Way,78th Avenue,Female,"Sharon Michele Rivers was a young woman who epitomized the words New Yorker. Born in the Bronx, she was a product of the New York City School System graduating from one of its specialized schools, The High School of Fashion Industries. She held different",Between Queens Boulevard and Kew Forest Lane,11375,Sharon Michele Rivers & Caprice Antoinette Bush Way,,"MULTILINESTRING ((-73.83310145399997 40.714483460000054, -73.83246577099999 40.71496122000008))",POINT (-73.83278361249998 40.714722340000066),40.714722340000066,-73.83278361249998,17.6%,51%
"MULTILINESTRING ((-74.20759750199994 40.528382099000055, -74.20754922199995 40.52784795600007))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Staten Island,Lori Allison Singer Avenue,Clearmont Avenue,Female,"Lori Singer was a model daughter who played by the rules.  She joined girl scouts, participated in after school activities, ran errands for neighbors, and when September 11th happened she joined the Army to serve her country.  After completing basic trai",Between Albourne Avenue and Uncas Avenue,10309,Lanza,,"MULTILINESTRING ((-74.20759750199994 40.528382099000055, -74.20754922199995 40.52784795600007))",POINT (-74.20757336199995 40.528115027500064),40.528115027500064,-74.20757336199995,17.5%,51%
"MULTILINESTRING ((-74.07110391799995 40.60113636500006, -74.07084642599995 40.60031769100004))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Staten Island,Mother Franciska Way,Columbia Avenue,Female,"Franciska Lechner, Mother Franciska, founded the Congregation of the Daughters of Divine Charity in Vienna, Austria in 1868.  The Congregation provided shelter for young working women during the European Industrial Revolution.  Currently, the Congregatio",Between Chicago Avenue and the St. Joseph Hill Academy Campus,10305,Oddo,,"MULTILINESTRING ((-74.07110391799995 40.60113636500006, -74.07084642599995 40.60031769100004))",POINT (-74.07097517199995 40.600727028000044),40.60072702800005,-74.07097517199995,17.5%,51%
"MULTILINESTRING ((-73.96436473999995 40.68093787400005, -73.96264544399997 40.67194572000005))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Brooklyn,Mary Pinkett Avenue,Washington Avenue,Female,"Mary Glover Pinkett was born in Brooklyn, New York on September 8, 1926, to the late Julius and Awelda Glover of Hampton, South Carolina. She was a lifelong member of the Berean Missionary Baptist Church where she was a Sunday School Teacher and choir me",between Atlantic Avenue and Eastern Parkway,11238,James,,"MULTILINESTRING ((-73.96436473999995 40.68093787400005, -73.96264544399997 40.67194572000005))",POINT (-73.96350509199996 40.67644179700005),40.67644179700005,-73.96350509199996,22.1%,52%
"MULTILINESTRING ((-73.93529518199995 40.753885740000044, -73.93635376099996 40.75273165100003))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Sister Flora Marinelli Way,28th Street,Female,"Sister Marinelli is remembered as a beloved community member, educator, humanitarian, and devout member of the Sisters of St Joseph. She earned a Masters in Religious Education from Fordham University and was principal of Our Lady of Lourdes in West Isli",Between 39th Avenue and 40th Avenue,11101,Won,,"MULTILINESTRING ((-73.93529518199995 40.753885740000044, -73.93635376099996 40.75273165100003))",POINT (-73.93582447149996 40.75330869550004),40.75330869550004,-73.93582447149996,17.6%,51%
"MULTILINESTRING ((-73.89792223199998 40.86240723600008, -73.89744345699995 40.86243766300004))",Int. No. 1449-A,03/18/2017,2017,2017/045,Street,Bronx,Marine Corporal Ramona M. Valdez Way,151 East Fordham Road,Female,"Ramona M. Valdez was a United States Marine who was killed in the line of duty when a vehicle-borne improvised explosive device detonated near her convoy vehicle in Fallujah, Iraq.  Two years after her death, Camp Lejeune, the base in North Carolina wher",Fordham Road and Grand Concourse,10468,Cabrera,,"MULTILINESTRING ((-73.89792223199998 40.86240723600008, -73.89744345699995 40.86243766300004))",POINT (-73.89768284449997 40.86242244950006),40.86242244950006,-73.89768284449997,25.5%,53%
"MULTILINESTRING ((-73.82114039399994 40.74976036400005, -73.81947474299994 40.75085354700008))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Queens,Theresa Crawford Way,Holly Avenue,Female,"Theresa Crawford was born on March 17, 1909, in Whitestone, New York, to Charles and Theresa Carney Barto. At age 17, Theresa took on the tasks of raising her younger brother Vincent and running a candy store that her mother had purchased on the corner o",between Kissena Boulevard and 137th Place,11355,Liu,,"MULTILINESTRING ((-73.82114039399994 40.74976036400005, -73.81947474299994 40.75085354700008))",POINT (-73.82030756849994 40.750306955500065),40.750306955500065,-73.82030756849994,17.6%,51%
"MULTILINESTRING ((-73.94190366999999 40.84276681000006, -73.93950041099998 40.84175062400004))",Int. No. 613,05/09/2005,2005,2005/043,Street,Manhattan,Edith Kamiat Place,West 169th Street,Female,"Edith Kamiat was a long-time community activist in Washington Heights and former Public Member of the Housing Committee of Community Board 12 in Manhattan.  She was a stalwart fighter for tenant’s rights, social justice and progressive causes.  She liv",Between Fort Washington Avenue and Broadway,10032,Martinez,,"MULTILINESTRING ((-73.94190366999999 40.84276681000006, -73.93950041099998 40.84175062400004))",POINT (-73.94070204049999 40.84225871700005),40.84225871700005,-73.94070204049999,26.5%,52%
"MULTILINESTRING ((-73.94483842599993 40.82392898900008, -73.94602396199997 40.821383713000046))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Manhattan,Dorothy Maynor Place,West side of St. Nicholas Avenue,Female,"Dorothy Maynor was an African-American soprano, music educator and one of the most highly praised singers of the 1940’s and 1950’s.  She studied at the Hampton Institute and received a B.S. in 1933 and began her career singing in various choirs and t",Between West 141st Street and 145th Street,10030,Jackson,,"MULTILINESTRING ((-73.94483842599993 40.82392898900008, -73.94602396199997 40.821383713000046))",POINT (-73.94543119399995 40.82265635100006),40.82265635100006,-73.94543119399995,26.5%,52%
"MULTILINESTRING ((-73.94163079699996 40.801151841000035, -73.94030042199995 40.800599574000046))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Manhattan,Ms. Mary Iemma Way,East 119th Street,Female,"Mary Iemma was the first African-American to develop more than five hundred decent and affordable apartments for families in East Harlem to live in, and organized a development program in East Harlem called the Upper Park Avenue Community Association (UP",Between Park and Lexington Avenues,10035,Reed,,"MULTILINESTRING ((-73.94163079699996 40.801151841000035, -73.94030042199995 40.800599574000046))",POINT (-73.94096560949995 40.80087570750004),40.80087570750004,-73.94096560949995,26.5%,52%
"MULTILINESTRING ((-73.93636940699997 40.752723693000064, -73.93528981799994 40.753888619000065))",Int. No. 968,07/20/2024,2024,2024/081,Street,Queens,"Sister Flora Marinelli, CSJ Way",28th Street,Female,"Sister Marinelli is remembered as a beloved community member, educator, humanitarian, and devout member of the Sisters of St Joseph. She earned a Masters in Religious Education from Fordham University and was principal of Our Lady of Lourdes in West Isli",Between 39th Avenue and 40th Avenue,11101,Won,,"MULTILINESTRING ((-73.93636940699997 40.752723693000064, -73.93528981799994 40.753888619000065))",POINT (-73.93582961249996 40.753306156000065),40.753306156000065,-73.93582961249996,17.6%,51%
"MULTILINESTRING ((-73.94853258199998 40.789033751000034, -73.94713515099994 40.788440768000044))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Manhattan,Cicely Tyson Way,East 101st Street,Female,"Cicely Tyson was an American actress and fashion model whose career spanned over seven decades portraying strong African-American women. She received three Primetime Emmy Awards, four Black Reel Awards, one Screen Actors Guild Award, one Tony Award, an h",Between Lexington Avenue and Third Avenue,10029,Ayala,,"MULTILINESTRING ((-73.94853258199998 40.789033751000034, -73.94713515099994 40.788440768000044))",POINT (-73.94783386649996 40.78873725950004),40.78873725950004,-73.94783386649996,26.5%,52%
"MULTILINESTRING ((-74.16444780999996 40.53513414200006, -74.16326763799998 40.53350332300005))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Staten Island,Police Officer Kelly Korchak Way,Seidman Avenue,Female,Kelly Korchak was a two-time “Cop of the Month” who graduated from the academy in 2002 and was assigned to the 73rd Precinct in Brooklyn before being assigned to Staten Island where she joined the borough’s Evidence Collection Team in 2007.  While,Between Koch Boulevard and Shirley Avenue,10312,Borelli,,"MULTILINESTRING ((-74.16444780999996 40.53513414200006, -74.16326763799998 40.53350332300005))",POINT (-74.16385772399997 40.534318732500054),40.534318732500054,-74.16385772399997,17.5%,51%
"MULTILINESTRING ((-73.85618984999996 40.855069212000046, -73.85545472599995 40.85539831700004))",Int. No. 968,07/20/2024,2024,2024/081,Street,Bronx,Shpresa Nika Way,Lydig Avenue,Female,"Shpresa Nika has been a steadfast member of the community for more than 30 years, having worked at Liberty Diner right up until her untimely passing from cancer. A lifelong Bronxite and member of the Albanian community, Shpresa was a wonderful and devote",Between Williamsbridge Road and Tomlinson Avenue,10461,Marmorato,,"MULTILINESTRING ((-73.85618984999996 40.855069212000046, -73.85545472599995 40.85539831700004))",POINT (-73.85582228799996 40.85523376450004),40.85523376450004,-73.85582228799996,25.5%,53%
"MULTILINESTRING ((-73.87698640099995 40.75632248000005, -73.87670208599997 40.75475394700004))",Int. No. 988,07/29/2018,2018,2018/139,Street,Queens,Mary Audrey Gallagher Way,91st Street,Female,"Mary Gallagher was an early advocate for the LGBT community by founding the Queens chapter of Parents, Families and friends of Lesbians and Gays and served as its Queens Hospitality Chairperson.  She served as a public school teacher for many years and l",Between Northern Boulevard and 34th Avenue with the sign located on the southeast corner of Northern Boulevard and 91st Street,11372,Johnson,,"MULTILINESTRING ((-73.87698640099995 40.75632248000005, -73.87670208599997 40.75475394700004))",POINT (-73.87684424349996 40.755538213500046),40.755538213500046,-73.87684424349996,17.6%,51%
"MULTILINESTRING ((-73.97864004299998 40.650333819000025, -73.97792121099997 40.65060243700003))",Int. No. 1825,01/19/2020,2020,2020/026,Street,Brooklyn,Diane Halbran Way,Greenwood Avenue,Female,Diane Halbran was a police officer who died as a result of cancer she developed following her assignment to assist with search and rescue efforts at the World Trade Center site after the 9/11 terrorist attacks.,Between East 4th Street and East 3rd Street,11218,Lander,,"MULTILINESTRING ((-73.97864004299998 40.650333819000025, -73.97792121099997 40.65060243700003))",POINT (-73.97828062699998 40.65046812800003),40.65046812800003,-73.97828062699998,22.1%,52%
"MULTILINESTRING ((-73.99141299799999 40.72702634600006, -73.98956763799998 40.726247837000074))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Manhattan,Ellen Stewart Way,East 4th Street,Female,"Ellen Stewart was the first African-American fashion designer for Saks Fifth Avenue and founder and artistic director of La MaMa Experimental Theatre Club at 74A East 4th Street.  She moved to New York City in the late 1940’s and later, with an appreci",Between Bowery and 2nd Avenue,10003,Mendez,,"MULTILINESTRING ((-73.99141299799999 40.72702634600006, -73.98956763799998 40.726247837000074))",POINT (-73.99049031799998 40.726637091500066),40.726637091500066,-73.99049031799998,26.5%,52%
"MULTILINESTRING ((-74.01842550099997 40.64362676400003, -74.01679471799997 40.642637652000076))",Int. No. 480-A,08/14/2022,2022,2022/081,Street,Brooklyn,Sandra Santos-Vizcaino Street,57th Street,Female,Sandra Santos-Vizcaino was a long-time resident of Sunset Park who began her teaching career in 1995. She was an active member of numerous educational organizations including the Association of Dominican American Supervisors and Administrators and receiv,Between 3rd Avenue and 4th Avenue,11220,Avilés,,"MULTILINESTRING ((-74.01842550099997 40.64362676400003, -74.01679471799997 40.642637652000076))",POINT (-74.01761010949997 40.643132208000054),40.643132208000054,-74.01761010949997,22.1%,52%
"MULTILINESTRING ((-73.95737632799995 40.729190172000074, -73.95413353799995 40.729493027000046))",Int. No. 1613,06/24/2017,2017,2017/110,Street,Brooklyn,Christine Zounek Way,Milton Street,Female,"Christine Zounek was a long-time resident of Milton Street and a community leader who cared deeply for all of her neighbors.  In 2008, she became the first volunteer at the Greenpoint Reformed Church Food Pantry and Soup Kitchen at 136 Milton Street, and",Between Franklin Street and Manhattan Avenue,11222,Levin,,"MULTILINESTRING ((-73.95737632799995 40.729190172000074, -73.95413353799995 40.729493027000046))",POINT (-73.95575493299995 40.72934159950006),40.72934159950006,-73.95575493299995,22.1%,52%
"MULTILINESTRING ((-74.24341455799998 40.509122957000045, -74.24318120499998 40.508464263000064))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Staten Island,Gina Alexa Morales Way,Yetman Avenue,Female,Gina Alexa Morales was a student at P.S. 1 in Tottenville.  She was diagnosed with asthma at the age of two and died as a result of a mucous plug that blocked her airways and caused a massive heart attack from the lack of oxygenated blood flow.  Being an,Between Summit Street and Academy Avenue,10307,Ignizio,,"MULTILINESTRING ((-74.24341455799998 40.509122957000045, -74.24318120499998 40.508464263000064))",POINT (-74.24329788149998 40.508793610000055),40.508793610000055,-74.24329788149998,17.5%,51%
"MULTILINESTRING ((-73.94169242099997 40.81779454000008, -73.93913538199996 40.81671042800008))",Int. No. 877-A,12/29/2008,2008,2008/064,Street,Manhattan,Billie Holiday Place,139th Street,Female,"Billie Holiday was an American singer, who began her musical career in Harlem, known equally for her difficult life and her emotive, poignant singing voice.  She is generally considered one of the greatest jazz voices of all time.  She is often cited as",Between Malcolm X Boulevard and Adam Clayton Powell Jr.  Boulevard,10037,Dickens,,"MULTILINESTRING ((-73.94169242099997 40.81779454000008, -73.93913538199996 40.81671042800008))",POINT (-73.94041390149997 40.81725248400008),40.81725248400008,-73.94041390149997,26.5%,52%
"MULTILINESTRING ((-73.90090467999994 40.86270734800007, -73.89932461499995 40.862161495000066, -73.89763726099994 40.86243073400004, -73.89685698199997 40.862452863000044, -73.89447713199996 40.862036096000054, -73.89272150399995 40.861836932000074, -73.89197117499998 40.86185821200007, -73.89143163499995 40.86163269900004, -73.89035140699997 40.86108821700003))",Int. No. 565,10/20/2003,2003,2003/062,Street,Bronx,Celia Cruz Boulevard,Fordham Road,Female,"(The following biographical information was provided by the “All Music Guide” and “Thomson Gale” websites.) 

Celia Cruz was one of Latin music's most respected vocalists. A ten-time Grammy nominee, Cruz, who sang only in her native Spanish langu",between Third Avenue and Jerome Avenue,10468,Rivera and Miller,,"MULTILINESTRING ((-73.90090467999994 40.86270734800007, -73.89932461499995 40.862161495000066, -73.89763726099994 40.86243073400004, -73.89685698199997 40.862452863000044, -73.89447713199996 40.862036096000054, -73.89272150399995 40.861836932000074, -73.89197117499998 40.86185821200007, -73.89143163499995 40.86163269900004, -73.89035140699997 40.86108821700003))",POINT (-73.89559675191218 40.862093547759024),40.862093547759024,-73.89559675191218,25.5%,53%
"MULTILINESTRING ((-73.93788345799999 40.803755814000056, -73.93734969799993 40.80448265900003, -73.93683302699998 40.805186227000036, -73.93632964499994 40.80587169000006, -73.93574305499999 40.80669359900003, -73.93547729499994 40.80706597000005, -73.93469141999998 40.80813607600004))",Int. No. 771,12/04/2001,2001,2001/060,Street,Manhattan,Alice Kornegay Way,Lexington Avenue,Female,"The following biographical information was provided by the Abyssinian Baptist Church and the Community Association of the East Harlem Triangle, Inc.   

Alice Grace Wragg Kornegay was born in May of 1930 in Georgetown, South Carolina and came to Harlem a",between East 124 th Street and East 131st Street,10035,"Perkins, Reed, and O’Donovan",,"MULTILINESTRING ((-73.93788345799999 40.803755814000056, -73.93734969799993 40.80448265900003, -73.93683302699998 40.805186227000036, -73.93632964499994 40.80587169000006, -73.93574305499999 40.80669359900003, -73.93547729499994 40.80706597000005, -73.93469141999998 40.80813607600004))",POINT (-73.9362855197071 40.805944555573475),40.805944555573475,-73.9362855197071,26.5%,52%
"MULTILINESTRING ((-73.98663907999997 40.66098154100007, -73.98618578699995 40.66142509600007))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Brooklyn,Ms. Marion Dombkowski Way,7th Avenue,Female,"Marion Dombkowski was born in Garfield, New Jersey and was the youngest of four children. She later married, raised two children and moved to Brooklyn. She was an exemplary woman whose service as a crossing guard at IS 88 for 28 years kept many students",Between Prospect Avenue and 17th Street,11215,Gonzalez,,"MULTILINESTRING ((-73.98663907999997 40.66098154100007, -73.98618578699995 40.66142509600007))",POINT (-73.98641243349996 40.66120331850007),40.66120331850007,-73.98641243349996,22.1%,52%
"MULTILINESTRING ((-73.91307615599999 40.70919801300005, -73.91412817899999 40.708158817000026))",Int. No. 457,12/05/2006,2006,2006/050,Street,Brooklyn,Pauline Leblond Way,Stockholm Street,Female,"Pauline Leblond served as President of the Stockholm Street Block Association and led the fight to gain historic landmark status from the City for Stockholm Street, between Onderdonk and Woodward Avenues in Ridgewood. She was instrumental in obtaining fu",Between Woodward Avenue and Onderdonk Avenue,11385,Reyna and Gallagher,,"MULTILINESTRING ((-73.91307615599999 40.70919801300005, -73.91412817899999 40.708158817000026))",POINT (-73.91360216749999 40.70867841500004),40.70867841500004,-73.91360216749999,22.1%,52%
"MULTILINESTRING ((-73.96441366199997 40.68129927200005, -73.96772672699996 40.69760869400005))",Int. No. 613,05/09/2005,2005,2005/043,Street,Brooklyn,Mary Pinkett Avenue,Washington Avenue,Female,"The first black woman elected to the council, Mary Pinkett served for 28 years representing neighborhoods that included Clinton Hill, Fort Greene, Prospect Heights, Bedford-Stuyvesant, and Crown Heights.  She was first elected in November 1973 from the 2",Between Flushing and Atlantic Avenues,11238,James,,"MULTILINESTRING ((-73.96441366199997 40.68129927200005, -73.96772672699996 40.69760869400005))",POINT (-73.96607019449996 40.68945398300005),40.68945398300005,-73.96607019449996,22.1%,52%
"MULTILINESTRING ((-73.88692743799999 40.835164520000035, -73.88601012199996 40.83667839300006))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Bronx,Ruth Poindexter Plaza,Vyse Avenue,Female,"Ruth Poindexter was born in Norfolk, Virginia to the late John Gordon and Mattie Ruth Redding. Ruth graduated from the High School of Fashion Industries and attended Queens College for a short time. She has been vice president of C.S. 57, secretary of I.",Between East 173rd Street and East 174th Street,10460,Rivera,,"MULTILINESTRING ((-73.88692743799999 40.835164520000035, -73.88601012199996 40.83667839300006))",POINT (-73.88646877999997 40.835921456500046),40.835921456500046,-73.88646877999997,25.5%,53%
"MULTILINESTRING ((-73.94322116099994 40.68032770000008, -73.93774349399996 40.68096052100003))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Brooklyn,Tohma Y. Faulkner Way,Decatur Street,Female,"Tohma Y. Faulkner served as 2nd vice chair on Community Board 3 and also served on the board of directors for Vannguard Urban Improvement Association, was the former president of the Brownstoners, was a member of the steering committee for the Bedford-St",Between Tompkins Avenue and Marcus Garvey Boulevard,11216,Cornegy,,"MULTILINESTRING ((-73.94322116099994 40.68032770000008, -73.93774349399996 40.68096052100003))",POINT (-73.94048232749995 40.680644110500054),40.680644110500054,-73.94048232749995,22.1%,52%
"MULTILINESTRING ((-73.91655480599997 40.869359694000025, -73.91588425399993 40.869760281000026))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Manhattan,Renee Mancino Way,Broadway,Female,"Renee Mancino was the owner of Carrot Top Pastries, a staple bakery in Washington Heights and Inwood. Following her death, a memorial service was held at the Riverdale Funeral Home where hundreds of people gathered to listen to speeches and honor her mem",Between 214th Street and 215th Street,10034,Rodriguez,,"MULTILINESTRING ((-73.91655480599997 40.869359694000025, -73.91588425399993 40.869760281000026))",POINT (-73.91621952999995 40.869559987500025),40.869559987500025,-73.91621952999995,26.5%,52%
"MULTILINESTRING ((-73.75928032499996 40.59709272500004, -73.75983822399996 40.59778313400005, -73.76043867499999 40.598526192000065, -73.76110690899998 40.59933092600005, -73.76148799899994 40.59980251500008))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Queens,Hon. Pauline Rhodd- Cummings Drive,Beach 25th Street,Female,"Assemblywoman Pauline Rhodd-Cummings, born in Jamaica, West Indies, was a 25 year resident of The Rockaways.  She passed away on January 27, 2002 after a year-long battle with cancer at the age of 56.  She served in the New York State Assembly for 8 year",Between Rockaway  Freeway and Camp Road,11691,"Sanders, Jr.",,"MULTILINESTRING ((-73.75928032499996 40.59709272500004, -73.75983822399996 40.59778313400005, -73.76043867499999 40.598526192000065, -73.76110690899998 40.59933092600005, -73.76148799899994 40.59980251500008))",POINT (-73.76038224837177 40.59844918754443),40.59844918754443,-73.76038224837177,17.6%,51%
"MULTILINESTRING ((-73.98825274499995 40.68586589100005, -73.98617135099994 40.685056391000046))",Int. No. 849,08/10/2015,2015,2015/076,Street,Brooklyn,Briana Ojeda Way,Bergen Street,Female,"Briana Ojeda was an 11-year-old girl from Brooklyn who died tragically in after suffering an asthma attack. As Briana's mother was rushing her to the hospital, she was stopped by a police officer, who failed to administer life-saving CPR, claiming he was",Between Hoyt Street and Bond Street,11201,Levin,,"MULTILINESTRING ((-73.98825274499995 40.68586589100005, -73.98617135099994 40.685056391000046))",POINT (-73.98721204799995 40.68546114100005),40.68546114100005,-73.98721204799995,22.1%,52%
"MULTILINESTRING ((-73.90080501299997 40.844442024000045, -73.89968384999997 40.84431114900008))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Bronx,Police Officer Jill Garcia Place,Cross Bronx Expressway,Female,"Police Officer Jill Garcia entered the New York City Police Academy in September 2000.  She was assigned to the 46th Precinct upon her graduation from the Police Academy.  In 2003, she was transferred to the 48th Precinct where she worked on patrol a",Between Park Avenue and Washington Avenue,10457,Rivera,,"MULTILINESTRING ((-73.90080501299997 40.844442024000045, -73.89968384999997 40.84431114900008))",POINT (-73.90024443149997 40.84437658650006),40.84437658650006,-73.90024443149997,25.5%,53%
"MULTILINESTRING ((-73.94788013499993 40.66703362000004, -73.94532667199996 40.66689120600006))",Int. No. 988,07/29/2018,2018,2018/139,Street,Brooklyn,Sarah and Michoel Behrman Way,Carroll Street,Female,"Sarah Behrman was an educator and advocate for the less fortunate.  She worked for Hebrew Academy For Special Children, the Jewish educational and clinical social service agency for people with special needs.   In addition to using the resources availabl",Between Brooklyn Avenue and New York Avenue,11213,Cumbo,,"MULTILINESTRING ((-73.94788013499993 40.66703362000004, -73.94532667199996 40.66689120600006))",POINT (-73.94660340349995 40.66696241300005),40.66696241300005,-73.94660340349995,22.1%,52%
"MULTILINESTRING ((-73.93975681299997 40.83951211300007, -73.93930754299998 40.83932948300003))",Int. No. 388,07/09/2014,2014,2014/034,Street,Manhattan,Altagracia Diloné Levat Way,166th Street,Female,"Altagracia Diloné Levat was the director of the Alianza Dominicana Cultural Center, which was funded by the New York City Council and administered by Catholic Charities of New York.  She initiated and oversaw classical and folkloric music programs, as w",Between St. Nicholas Avenue and Audubon Avenue,10032,Rodriguez,,"MULTILINESTRING ((-73.93975681299997 40.83951211300007, -73.93930754299998 40.83932948300003))",POINT (-73.93953217799998 40.83942079800005),40.83942079800005,-73.93953217799998,26.5%,52%
"MULTILINESTRING ((-73.89577003199997 40.84933995800003, -73.89648926099994 40.84807751400007))",Int. No. 825,10/10/2008,2008,2008/048,Street,Bronx,Carmen B. Bermudez Place,Bathgate Avenue,Female,"Carmen B. Bermudez was the founder of the Upper Bronx Neighborhood Association for Puerto Rican Affairs, Inc (NAPRA).  Under her leadership, the NAPRA was awarded a grant for a day care center which provided assistance to community children with special",Between East 178th  Street and East 179th Street,10457,Rivera,,"MULTILINESTRING ((-73.89577003199997 40.84933995800003, -73.89648926099994 40.84807751400007))",POINT (-73.89612964649996 40.84870873600005),40.84870873600005,-73.89612964649996,25.5%,53%
