Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes
"MULTILINESTRING ((-74.01669327399998 40.71547280500005, -74.01602003999994 40.715156672000035))",Int. No. 877-A,12/29/2008,2008,2008/064,Street,Manhattan,River Terrace,Vesey Place,Misc,"This section of the bill would rename a portion of what is now called “Vesey Place”, within Battery Park City in Manhattan, “as River Terrace.”  Currently, the extension of Vesey Place to the west is named River Terrace and this renaming, which w",River Terrace as it extends to North End Avenue,10282,Gerson,
"MULTILINESTRING ((-74.03043356599994 40.61643726800003, -74.03106835599993 40.615722394000045))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Brooklyn,Salvatore (Sal) D’Amato Place,East side of 5th Avenue,Male,"Salvatore D’Amato served in the Korean War from 1951 to 1953 in the United States Air Force.  He was very involved with Bay Ridge on the Move, The Ragamuffin Parade, the Advocates for the Blind and Handicapped, the Ben-Bay Kiwannis Club, the Guild for",Between 94th Street and 95th Street,11209,Gentile,
"MULTILINESTRING ((-73.89726291699998 40.75247530300004, -73.87481819099997 40.75481597800007))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Paseo Park,34th Avenue,Group,Paseo Park is a 26-block open street along 34th Avenue from 69th Street to Junction Boulevard in Jackson Heights. Its name is meant to acknowledge the diverse immigrant communities that line the open street while also evoking the new purpose of the stree,Between 69th Street and 93rd Street,11372,Krishnan,
"MULTILINESTRING ((-73.76984029699997 40.679561988000046, -73.76694082899996 40.680054238000025, -73.76677989699994 40.68009288600007, -73.76408964099994 40.68071938000003))",Int. No. 931-A,04/20/2009,2009,2009/025,Street,Queens,Poor Freddie’s Avenue,129th Avenue,Male,"Freddie Dill, Sr. was not only a role model for entrepreneurs, but also a valued and active member of his community.  He has been honored by various community leaders, politicians and those who he had helped over the years.  When he moved to Jamaica, Que",Between Merrick Boulevard and 174th Street,11434,Comrie,
"MULTILINESTRING ((-73.90361417599996 40.67877807900004, -73.90344251499994 40.677992903000074))",Int. No. 935,10/02/2012,2012,2012/048,Street,Brooklyn,Police Officer Irma Lozada Way,Van Sinderen Avenue,Female,"On September 21, 1984, Police Officer Irma Lozada was the first female Police Officer to be killed in the line of duty in New York City.  She was a four year veteran of the NYC Transit Police Force when she was gunned down trying to apprehend a robbery s",Between Fulton Street and Broadway,11233,Dilan,
"MULTILINESTRING ((-73.97285079099998 40.69318624300007, -73.97257184099993 40.69175654800006))",Int. No. 2187,01/17/2021,2021,2021/014,Street,Brooklyn,Richard Wright Way,Carlton Avenue,Male,"Richard Wright was an African American writer and poet who was employed by the Federal Writer’s Project and received critical acclaim for “Uncle Tom’s Children,” a collection of four stories and was also well known for his 1940 bestseller “Nati",Between Willoughby Avenue and Myrtle Avenue,11205,Cumbo,
"MULTILINESTRING ((-73.96753640999998 40.64758694200003, -73.96733524499996 40.64661620500004))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Brooklyn,Jessie Streich-Kest Way,Argyle Road,Female,"Jessie Streich-Kest was killed on October 29, 2012 by a falling tree limb while walking her dog.  She was a committed social activist, an energetic and enthusiastic public school teacher, a passionate lover of animals and a supportive daughter and frie",Between Albemarle Road and Church Avenue,11218,Eugene,
"MULTILINESTRING ((-73.92092864699998 40.81161205500007, -73.91935565399996 40.810942315000034, -73.91769268399997 40.81038496300005))",Int. No. 565,10/20/2003,2003,2003/062,Street,Bronx,Piccirilli Place,East 142nd Street,Group,"The Piccirilli family, parents, six sons and a daughter, arrived in New York City in 1888 from Massa-Carrara in Tuscany, Italy where the father, Giuseppe, operated a sculpture studio. By 1893, they established a residence and sculpture studio at 467 E. 1",between Willis Avenue and Brook Avenue,10454,Serrano,
"MULTILINESTRING ((-73.83310145399997 40.714483460000054, -73.83246577099999 40.71496122000008))",Int. No. 457,12/05/2006,2006,2006/050,Street,Queens,Sharon Michele Rivers & Caprice Antoinette Bush Way,78th Avenue,Female,"Sharon Michele Rivers was a young woman who epitomized the words New Yorker. Born in the Bronx, she was a product of the New York City School System graduating from one of its specialized schools, The High School of Fashion Industries. She held different",Between Queens Boulevard and Kew Forest Lane,11375,Sharon Michele Rivers & Caprice Antoinette Bush Way,
"MULTILINESTRING ((-73.90465986799995 40.90182019700006, -73.90384329199998 40.902910904000066, -73.90314336299997 40.90384578900006))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Bronx,James V. Downey Way,Mosholu Avenue,Male,James V. Downey resided in Riverdale for over 50 years and was devoted to the Bronx community.  He worked for the Federal Bureau of Investigation for over 40 years.  He founded and was the president and treasurer of the North Riverdale Baseball League wh,Between West 254th Street and West 256th Street,10471,Koppell,
"MULTILINESTRING ((-74.20759750199994 40.528382099000055, -74.20754922199995 40.52784795600007))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Staten Island,Lori Allison Singer Avenue,Clearmont Avenue,Female,"Lori Singer was a model daughter who played by the rules.  She joined girl scouts, participated in after school activities, ran errands for neighbors, and when September 11th happened she joined the Army to serve her country.  After completing basic trai",Between Albourne Avenue and Uncas Avenue,10309,Lanza,
"MULTILINESTRING ((-73.77458237799993 40.68043066400003, -73.76946905099999 40.677246688000025, -73.76806025699995 40.67636943100007, -73.76697996699994 40.67569672500008, -73.76386919499998 40.67383145600007))",Int. No. 999,12/26/2001,2001,2001/071,Street,Queens,Fred Wilson Way,Bedell Street,Male,"The following biographical material was provided by the Wilson family. 

Fred Wilson was born Wilfred Wilson in Harlem on November 20, 1929 to Siefert and Winifred Wilson. He received his diploma from Commerce High School and studied liberal arts at the",between Baisley Boulevard and Farmers Boulevard,11434,"Spigner, White, Watkins, Marshall and Koslowitz,  Povman, Sabini and Wooten",
"MULTILINESTRING ((-73.78296434599997 40.68420013200006, -73.78281246299997 40.68393276100005, -73.78268038599998 40.683700255000076))",Int. No. 897,03/19/2023,2023,2023/044,Street,Queens,Carmichael Way,Guy R. Brewer Boulevard,Group,"For nearly 40 years, the name Carmichael in Southeast Queens was synonymous with good, downhome southern country soul food, business powerbrokers, jazz, and “after church brunch on Sunday.” The Carmichael’s diner, liquor store and auto shop/gas sta",Between Foch Boulevard and 118th Avenue,11434,Adams,
"MULTILINESTRING ((-73.78672530599994 40.707791230000055, -73.78606726999993 40.70624053000006))",Int. No. 480-A,08/14/2022,2022,2022/081,Street,Queens,Dharmacharya Seerattan Way,173rd Street,Male,"Dharmacharya Seerattan founded the Shri Devi Mandir in Jamaica, Queens in 1988 with a Global Humanitarian Foundation to serve globally. He worked with charitable organizations, including the BAPS Care International where in 2005 he built a well in a poor",Between Jamaica Avenue and 93rd Avenue,11435,Williams,
"MULTILINESTRING ((-73.99769655099993 40.71540274700004, -73.99705013899995 40.71644973600007))",Int. No. 1188-A,12/17/2013,2013,2013/131,Street,Manhattan,Private Danny Chen Way,Elizabeth Street,Male,"Danny Chen was born and raised in Chinatown and attended P.S. 130, I.S. 131 and graduated from Pace High School.  He enlisted in the United States Army and served with C Company, 3rd Battalion, 21st Infantry Regiment, 1st Stryker Brigade Combat Team, 25t",Between Canal Street and Bayard Street,10013,Chin,
"MULTILINESTRING ((-73.95837262899994 40.719240831000036, -73.95786201599998 40.71971517000003))",Int. No. 968,07/20/2024,2024,2024/081,Street,Brooklyn,Boaz Vaadia Place,Berry Street,Male,"Boaz Vaadia was an internationally known sculptor who used bluestone mined from New York City streets for his figurative pieces. He was born in Israel and grew up in a farming community.  He moved to New York in 1975. Born in Gat Rimon in 1951, Vaadia gr",Between N 8th Street and N 9th Street,11249,Restler,
"MULTILINESTRING ((-73.90336699199997 40.72978824000006, -73.90181727099997 40.73165365700004))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Queens,Det. Joseph A. Picciano Way,62nd Street,Male,Detective Picciano had served with the New York City Police Department for 10 years and was assigned to the 41st Detective Squad.  He was shot and killed at the 41st Precinct building at 1086 Simpson Street while fingerprinting a suspect that he and othe,Between 53rd Drive and 53rd Avenue,11378,Crowley,
"MULTILINESTRING ((-73.90759067299996 40.850964625000074, -73.90688256999994 40.85174776000008))",Int. No. 1449-A,03/18/2017,2017,2017/045,Street,Bronx,Maxwell “Max the Sax” Lucas Way,Morris Avenue,Male,"Maxwell Lucas played music for over 80 years.  At 14, he was presented with an alto saxophone and studied for six months before he was offered a seat as a player with Hugh Kirksy and his Orchestra. Around the age of 16, he visited New York and began play",Between Tremont Avenue and East 179th Street,10453,Cabrera,
"MULTILINESTRING ((-73.97616444799996 40.74399964300005, -73.97418631899995 40.74317154400006))",Int. No. 388,07/09/2014,2014,2014/034,Street,Manhattan,Father Damien’s Way,33rd Street,Male,"Father Damien was born in Tremeto, Belgium and later entered the noviate at Leuven monastery.  In 1864, he left Belgium for Hawaii as a missionary and for 16 years, he provided spiritual and medical assistance to those suffering from a callous disregarde",Between 1st Avenue and 2nd Avenue,10016,Mendez,
"MULTILINESTRING ((-73.94395187199996 40.68399345900008, -73.94132867199994 40.68429651900004))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Brooklyn,Bertram L. Baker Way,Jefferson Avenue,Male,"Bertram L. Baker was born on Nevis in the British West Indies and migrated to the United States in 1915.  He started his business career as a bookkeeper for the chandelier manufacturer, Cox and Nostrand of Brooklyn before going into private practice as a",Between Throop Avenue and Tompkins Avenue,11216,Vann,
"MULTILINESTRING ((-73.98644310299994 40.76161568800006, -73.98457151799994 40.76083464900006))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Manhattan,Saint Malachy’s Way,West 49th Street,Group,"Manhattan Community Board No. 5 has approved the renaming of 49th Street between Broadway and 8th Avenue to honor St. Malachy Catholic Church’s 100 years of service to New York City.  For eighty of the 100 years, St. Malachy’s has served the interest",Between 8th Avenue and Broadway,10019,Quinn,
"MULTILINESTRING ((-73.95237867399999 40.80063490800006, -73.95123823899996 40.80015362600005))",Int. No. 968,07/20/2024,2024,2024/081,Street,Manhattan,Carl C. Green Way,West 113th Street,Male,"Carl Green was born in Harlem and was very active in his community and basketball for 60 years. He began his basketball career at the Junior High School level and extended to Benjamin Franklin H.S., where he made the New York All-City team and later beca",Between St. Nicholas Avenue and Malcolm X Boulevard,10026,Salaam,
"MULTILINESTRING ((-73.91029340799997 40.83452328100003, -73.90925628699995 40.836295568000025, -73.90917909899997 40.83688631900003))",Int. No. 1054,02/25/2016,2016,2016/023,Street,Bronx,Rev. William E. Thompson Way,Teller Avenue,Male,"Rev. William E. Thompson founded the first African American Church in Morrisania in 1956.  The Church helped members of the community with health care needs, housing and other social issues.  He worked as a social worker for the City at the Spofford Dete",Between East 169th Street and East 170th Street,10456,Gibson,
"MULTILINESTRING ((-73.95585868299997 40.68262297100006, -73.95392749199993 40.68284595800003))",Int. No. 968,07/20/2024,2024,2024/081,Street,Brooklyn,Detective Troy D. Patterson Way,Jefferson Avenue,Male,"Troy Patterson served with the NYPD for over six years and was responsible for over 150 arrests. In 1990, he was shot during a robbery in front of his home while off-duty and remained in a coma until his death in 2023.  He was promoted to Detective in 20",Between Bedford Avenue and Franklin Avenue,11216,Ossé,
"MULTILINESTRING ((-74.07110391799995 40.60113636500006, -74.07084642599995 40.60031769100004))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Staten Island,Mother Franciska Way,Columbia Avenue,Female,"Franciska Lechner, Mother Franciska, founded the Congregation of the Daughters of Divine Charity in Vienna, Austria in 1868.  The Congregation provided shelter for young working women during the European Industrial Revolution.  Currently, the Congregatio",Between Chicago Avenue and the St. Joseph Hill Academy Campus,10305,Oddo,
"MULTILINESTRING ((-73.94849519899998 40.83640028800005, -73.94907455599997 40.83434254000008))",Int. No. 849,08/10/2015,2015,2015/076,Street,Manhattan,Robert Lowery Way,Riverside Drive,Male,Robert Lowery was the first African American fire commissioner in New York City and the first commissioner appointed by Mayor John V. Lindsay after his election in 1965.  He served at a time when there was a rise in arson-related fires throughout minorit,Between 155th Street and 158th Street,10032,Levine,
"MULTILINESTRING ((-73.96436473999995 40.68093787400005, -73.96264544399997 40.67194572000005))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Brooklyn,Mary Pinkett Avenue,Washington Avenue,Female,"Mary Glover Pinkett was born in Brooklyn, New York on September 8, 1926, to the late Julius and Awelda Glover of Hampton, South Carolina. She was a lifelong member of the Berean Missionary Baptist Church where she was a Sunday School Teacher and choir me",between Atlantic Avenue and Eastern Parkway,11238,James,
"MULTILINESTRING ((-73.85946186899997 40.832290224000076, -73.85873230799996 40.83239981300005))",Int. No. 388,07/09/2014,2014,2014/034,Street,Bronx,Jahi Williams-Simmons  Way,,Male,"Jahi Williams-Simmons was born in Georgetown, South Carolina. He was the cofounder and chair of Survival Instinct-The Network, Inc. (SITNET), a not-for-profit cancer awareness organization that promotes cancer awareness, early detection and screening. He",At the intersection of Newbold Avenue and the Cross Bronx Expressway Service Road,10472,Palma,
"MULTILINESTRING ((-73.93529518199995 40.753885740000044, -73.93635376099996 40.75273165100003))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Sister Flora Marinelli Way,28th Street,Female,"Sister Marinelli is remembered as a beloved community member, educator, humanitarian, and devout member of the Sisters of St Joseph. She earned a Masters in Religious Education from Fordham University and was principal of Our Lady of Lourdes in West Isli",Between 39th Avenue and 40th Avenue,11101,Won,
"MULTILINESTRING ((-73.89792223199998 40.86240723600008, -73.89744345699995 40.86243766300004))",Int. No. 1449-A,03/18/2017,2017,2017/045,Street,Bronx,Marine Corporal Ramona M. Valdez Way,151 East Fordham Road,Female,"Ramona M. Valdez was a United States Marine who was killed in the line of duty when a vehicle-borne improvised explosive device detonated near her convoy vehicle in Fallujah, Iraq.  Two years after her death, Camp Lejeune, the base in North Carolina wher",Fordham Road and Grand Concourse,10468,Cabrera,
"MULTILINESTRING ((-73.94965217699996 40.650825041000076, -73.95853565399995 40.65042618500007, -73.95969249799998 40.65027922100006, -73.96084235299998 40.65013314600003, -73.96150861399997 40.64996464800004, -73.96222637299996 40.649783125000056, -73.97069142499998 40.64642935000006))",Int. No.  1631,08/23/2019,2019,2019/158,Street,Brooklyn,Pierre Toussaint Boulevard,Church Avenue,Male,"Pierre Toussaint was born a slave in Haiti and was brought to New York City by his owners in 1787, where he served as an apprentice at a local hairdresser and later became highly proficient at the trade, working successfully in the homes of wealthy women",Between Nostrand Avenue and Coney Island Avenue,11226,Eugene,
"MULTILINESTRING ((-73.74419192499994 40.69731265400003, -73.74342213099999 40.697172339000076))",Int. No. 825,10/10/2008,2008,2008/048,Street,Queens,Jack Thompson Drive,116th Road,Male,Jack Thompson was the President of the Cambria Heights Civic Association.  He was an inspiration to many in his community and other civic leaders and activists in Cambria Heights.,Between Springfield Boulevard and Nashville Boulevard,11411,Comrie,
"MULTILINESTRING ((-73.82114039399994 40.74976036400005, -73.81947474299994 40.75085354700008))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Queens,Theresa Crawford Way,Holly Avenue,Female,"Theresa Crawford was born on March 17, 1909, in Whitestone, New York, to Charles and Theresa Carney Barto. At age 17, Theresa took on the tasks of raising her younger brother Vincent and running a candy store that her mother had purchased on the corner o",between Kissena Boulevard and 137th Place,11355,Liu,
"MULTILINESTRING ((-73.89271028099995 40.74877782300007, -73.89241523799996 40.74721317600006))",Int. No. 897,03/19/2023,2023,2023/044,Street,Queens,Bangladesh Street,73rd Street,Group,This co-naming will commemorate the Bangladeshi community and recognize the contributions that have been made and they continue to make in the future.,Between 37th Avenue and Broadway,11372,Krishnan,
"MULTILINESTRING ((-73.98109831099998 40.57473396100005, -73.98092396699997 40.57352176000006))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Brooklyn,Ruby Jacobs Walk,Stillwell Avenue,Male,"The following biographical material was provided by Dick Zigun and Charles Denson.  Rubin “Ruby” Jacobs was born in Coney Island on May 5, 1922.  He spent his entire life living and promoting the Coney Island lifestyle as a lifelong resident, as a Se",The east side of Stillwell Avenue between Bowery and the Boardwalk,11224,"Recchia, Jr.",
"MULTILINESTRING ((-73.86123673699996 40.760662317000026, -73.86063592199997 40.761336812000025))",Int. No. 988,07/29/2018,2018,2018/139,Street,Queens,Patrick Beckles Way,31st Drive,Male,"Patrick Beckles was very involved in civic and community activities for over 40 years.  He was the president of the Ditmars Boulevard Block Association, volunteered as an auxiliary police officer with the rank of sergeant at the 115th precinct, and was a",Between Astoria Boulevard and Ditmars Boulevard,11369,Moya,
"MULTILINESTRING ((-73.94190366999999 40.84276681000006, -73.93950041099998 40.84175062400004))",Int. No. 613,05/09/2005,2005,2005/043,Street,Manhattan,Edith Kamiat Place,West 169th Street,Female,"Edith Kamiat was a long-time community activist in Washington Heights and former Public Member of the Housing Committee of Community Board 12 in Manhattan.  She was a stalwart fighter for tenant’s rights, social justice and progressive causes.  She liv",Between Fort Washington Avenue and Broadway,10032,Martinez,
"MULTILINESTRING ((-73.94483842599993 40.82392898900008, -73.94602396199997 40.821383713000046))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Manhattan,Dorothy Maynor Place,West side of St. Nicholas Avenue,Female,"Dorothy Maynor was an African-American soprano, music educator and one of the most highly praised singers of the 1940’s and 1950’s.  She studied at the Hampton Institute and received a B.S. in 1933 and began her career singing in various choirs and t",Between West 141st Street and 145th Street,10030,Jackson,
"MULTILINESTRING ((-73.94163079699996 40.801151841000035, -73.94030042199995 40.800599574000046))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Manhattan,Ms. Mary Iemma Way,East 119th Street,Female,"Mary Iemma was the first African-American to develop more than five hundred decent and affordable apartments for families in East Harlem to live in, and organized a development program in East Harlem called the Upper Park Avenue Community Association (UP",Between Park and Lexington Avenues,10035,Reed,
"MULTILINESTRING ((-73.85937592899995 40.84669500100006, -73.85627797799998 40.84810919200004))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Bronx,Dominic Castore Way,Morris Park Avenue,Male,"Dominic Castore was the Chairperson of Bronx Community Board 11 for 25 years. He joined CB 11 in 1979, when he was appointed by then-Bronx Borough President Stanley Simon and helped improve the northeast Bronx through his collaboration with civic associa",Between Colden Avenue and Bronxdale Avenue,10462,Vacca,
"MULTILINESTRING ((-73.89129604199996 40.734518112000046, -73.89011984399997 40.73456929900004, -73.88924091599995 40.73460754900003, -73.88890390899996 40.734599409000054, -73.88856614999997 40.73455725500003))",Int. No. 968,07/20/2024,2024,2024/081,Street,Queens,Patrolman Arthur Howarth Way,Calamus Avenue,Male,Patrolman Arthur Howarth served with the NYPD for 11 years. He and Patrolman Angelo Favata were killed in an automobile accident while assigned to the 85th Precinct.,Between 72nd Place and 74th Street,11377,Holden,
"MULTILINESTRING ((-73.93796083299998 40.85561551700005, -73.93867161899993 40.854702588000066))",Int. No. 620,02/05/2015,2015,2015/015,Street,Manhattan,Jacob Birnbaum Way,Cabrini Boulevard,Male,"Jacob Birnbaum founded the Student Struggle for Soviet Jewry and is considered the father of the Movement to Free Soviet Jewry.  He was born in Hamburg, Germany, and after Hitler came to power in 1933, his family moved to London.   He worked with survivo",Between 186th Street and 187th Street,10033,Rodriguez,
"MULTILINESTRING ((-73.90324937899999 40.751833376000036, -73.90269729099998 40.751888801000064))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Lowell Marin Stage,34th Avenue,Male,"Lowell Marin grew up in the Woodside Houses and was a long-time community member in the area. He dedicated his life to the education of countless musicians, young and old. His students went on to play in internationally recognized bands and to earn a PhD",Between 59th Street and Broadway,11377,Won,
"MULTILINESTRING ((-73.90693495599999 40.74410573800003, -73.90713165199998 40.74328475400006))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Enoch Gregory Hawthorne Way,58th Street,Male,"Enoch Gregory Hawthorne, aka “The Dixie Drifter,” was born on December 13, 1936 in Hertford, North Carolina. He served in the United States Army and received an honorable discharge. He is best known as a legendary soul DJ and one of the first African",Between 43rd Avenue and 41st Drive,11377,Won,
"MULTILINESTRING ((-73.99854644599998 40.57503613800003, -73.99813338499996 40.57289288000004))",Int. No. 877-A,12/29/2008,2008,2008/064,Street,Brooklyn,Robert “Mr. Lou” Williams Way,West 32nd Street,Male,"Robert “Mr. Lou” Williams was very dedicated to the Coney Island community.  He served as a mentor, teacher and friend for over 40 years dedicating his life to enriching the lives of the youth of Coney Island.  He has had a direct positive impact on",Between Surf Avenue and Mermaid Avenue,11224,"Recchia, Jr.",
"MULTILINESTRING ((-73.87337034499996 40.76832699200003, -73.87302702199997 40.766435337000075))",Int. No. 613,05/09/2005,2005,2005/043,Street,Queens,Malcolm X Place,97th Street,Male,"Malcolm X was a prominent African-American leader during the 1950s and 60s.  While he remains one of the more controversial historical figures of his time, his significant impact on the civil rights movement is unquestioned.  This street sign will be pla",Between 23rd and 24th Streets,11369,Monserrate,
"MULTILINESTRING ((-73.93636940699997 40.752723693000064, -73.93528981799994 40.753888619000065))",Int. No. 968,07/20/2024,2024,2024/081,Street,Queens,"Sister Flora Marinelli, CSJ Way",28th Street,Female,"Sister Marinelli is remembered as a beloved community member, educator, humanitarian, and devout member of the Sisters of St Joseph. She earned a Masters in Religious Education from Fordham University and was principal of Our Lady of Lourdes in West Isli",Between 39th Avenue and 40th Avenue,11101,Won,
"MULTILINESTRING ((-73.92744681499994 40.67837785100005, -73.92754069199998 40.67737704900003))",Int. No. 849,08/10/2015,2015,2015/076,Street,Brooklyn,Detective Clarence M. Surgeon Way,Rochester Avenue,Male,Clarence M. Surgeon was a dedicated activist in the community.  He served during the Korean War and was discharged with the rank of Sergeant First Class.  He was appointed to the NYC Transit Authority Police Department in 1955.  He is remembered for his,Between Atlantic Avenue and Herkimer Street,11233,Cornegy,
"MULTILINESTRING ((-73.87638697999995 40.72557577500004, -73.87395527199999 40.722551690000046, -73.87236545399998 40.72057801100004))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Lt. Henry O. Schmiemann Way,82nd Place,Male,Henry O. Schmiemann served with the NYPD for 21 years and was assigned to the Inspections Services. He was killed while being mugged on his way to work.,Between Penelope Avenue and Eliot Avenue,11379,Holden,
"MULTILINESTRING ((-73.94550126699994 40.790188991000036, -73.94357007599996 40.78937466700006))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Manhattan,Union Settlement Way,East 104th Street,Group,"Union Settlement opened in 1895 and serves the East Harlem community with educational programming for youth, job preparation, assistance and programs for seniors and health screenings.",Between Second Avenue and Third Avenue,10029,Mark-Viverito,
"MULTILINESTRING ((-73.94007322999994 40.80637541600004, -73.93872676099994 40.80580695100008))",Int. No. 1188-A,12/17/2013,2013,2013/131,Street,Manhattan,St. James Place,East 126th Street,Group,This co-naming will commemorate St. James Church which was opened in 1859.,Between Madison Avenue and Park Avenue,10035,Dickens,
"MULTILINESTRING ((-73.99843692499996 40.67710752000005, -73.99870246399996 40.67655422300004))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Brooklyn,St. Mary Star of the Sea Way,Court Street,Group,"In 1851, Archbishop John Hughes of New York established the Parish of St. Mary’s Star of the Sea.  The need for the new parish in South Brooklyn and Red Hook was necessitated because of the large concentration of immigrant laborers with the boom of shi",between Nelson Street and Luquer Street,11231,DeBlasio,
"MULTILINESTRING ((-73.88875787799998 40.67024859900005, -73.88839846199994 40.66888148000004))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Brooklyn,Daesean Hill Drive,Hendrix Street,Male,"Daesean, affectionately known as “Dae Dae” was a loving a playful boy who loved school and whose life was taken violently on November 1, 2003, when he was gunned down outside his home in the Sutter Gardens Housing Complex during a drug dealer dispute",between Sutter Avenue and Blake Avenue,11207,Barron,
"MULTILINESTRING ((-73.81778746599997 40.79343015200004, -73.81750717499995 40.79274684400008))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Queens,George J. Regan Street,149th Street,Male,"George J. Regan was an attorney who practiced in New York for over 45 years and was a member of many community and professional organizations.  He was president and counsel to the Queens County Civic Council, a member of the Executive Committee of the Wh",Between 8th Avenue and 9th Avenue,11357,Halloran,
"MULTILINESTRING ((-73.94853258199998 40.789033751000034, -73.94713515099994 40.788440768000044))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Manhattan,Cicely Tyson Way,East 101st Street,Female,"Cicely Tyson was an American actress and fashion model whose career spanned over seven decades portraying strong African-American women. She received three Primetime Emmy Awards, four Black Reel Awards, one Screen Actors Guild Award, one Tony Award, an h",Between Lexington Avenue and Third Avenue,10029,Ayala,
"MULTILINESTRING ((-73.98806708599994 40.72805949600007, -73.98771303399997 40.72854427400006))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Manhattan,Nicholas Figueroa Way,Second Avenue,Male,"Moises Locon and Nicholas Figueroa were tragically killed in an explosion in the East Village.  The explosion led to the collapse of three buildings and severely damaged a fourth building, and also injuring 22 people.  As a result of this explosion and o",Between 7th Street and Saint Marks Place at the northwest corner of Second Avenue and East 7th Street,10003,Not Stated,
"MULTILINESTRING ((-74.16444780999996 40.53513414200006, -74.16326763799998 40.53350332300005))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Staten Island,Police Officer Kelly Korchak Way,Seidman Avenue,Female,Kelly Korchak was a two-time “Cop of the Month” who graduated from the academy in 2002 and was assigned to the 73rd Precinct in Brooklyn before being assigned to Staten Island where she joined the borough’s Evidence Collection Team in 2007.  While,Between Koch Boulevard and Shirley Avenue,10312,Borelli,
"MULTILINESTRING ((-73.85618984999996 40.855069212000046, -73.85545472599995 40.85539831700004))",Int. No. 968,07/20/2024,2024,2024/081,Street,Bronx,Shpresa Nika Way,Lydig Avenue,Female,"Shpresa Nika has been a steadfast member of the community for more than 30 years, having worked at Liberty Diner right up until her untimely passing from cancer. A lifelong Bronxite and member of the Albanian community, Shpresa was a wonderful and devote",Between Williamsbridge Road and Tomlinson Avenue,10461,Marmorato,
"MULTILINESTRING ((-73.93781525499998 40.83358216200003, -73.93860382399998 40.83289622400008, -73.93892568899997 40.83252687000004, -73.93915099499998 40.83209054200006, -73.93936557199999 40.83159332900004, -73.93955332599995 40.83134167600008, -73.93977058499996 40.83113467100003, -73.93995863599997 40.83088261900008, -73.94008172099996 40.83043247200004))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Manhattan,Willie Mays Drive,At the Harlem River Driveway / Polo Grounds Service Road,Male,"Willie Mays was born on May 6, 1931, in Westfield, Alabama, and began playing baseball at an early age. He played in the minor leagues for two seasons and was picked up by the New York Giants in 1951. Although having no hits in his first twelve at bats,",Between 155th Street and 163rd Street,10033,Rodriguez and Dickens,
"MULTILINESTRING ((-73.87698640099995 40.75632248000005, -73.87670208599997 40.75475394700004))",Int. No. 988,07/29/2018,2018,2018/139,Street,Queens,Mary Audrey Gallagher Way,91st Street,Female,"Mary Gallagher was an early advocate for the LGBT community by founding the Queens chapter of Parents, Families and friends of Lesbians and Gays and served as its Queens Hospitality Chairperson.  She served as a public school teacher for many years and l",Between Northern Boulevard and 34th Avenue with the sign located on the southeast corner of Northern Boulevard and 91st Street,11372,Johnson,
"MULTILINESTRING ((-73.97864004299998 40.650333819000025, -73.97792121099997 40.65060243700003))",Int. No. 1825,01/19/2020,2020,2020/026,Street,Brooklyn,Diane Halbran Way,Greenwood Avenue,Female,Diane Halbran was a police officer who died as a result of cancer she developed following her assignment to assist with search and rescue efforts at the World Trade Center site after the 9/11 terrorist attacks.,Between East 4th Street and East 3rd Street,11218,Lander,
"MULTILINESTRING ((-74.01139006699998 40.633726798000055, -74.01240930599994 40.63274975300004))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Brooklyn,Detective James V. Nemorin Street,8th Avenue,Male,"James V. Nemorin was born on December 2, 1966 in Mole St. Nicolas, Haiti. In 1987, at the age of 21, James arrived in the United States and took up residence Brooklyn. He later attended John Jay College of Criminal Justice graduating with a degree in Cri",between 63rd Street and 65th Street,11220,Gonzalez,
